timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-01-01 00:00:00,22.57,87.63,0.0806,14.94,24.17,4,79,5,1,5.79
2025-01-01 00:05:00,14.08,114.81,0.1644,16.76,28.25,5,69,8,1.44,8.74
2025-01-01 00:10:00,25.54,88.6,0.1975,17.99,25.75,4,74,9,1,11.82
2025-01-01 00:15:00,8.73,142.46,0.1577,18.26,26.05,4,0,5,1.97,8.73
2025-01-01 00:20:00,10.26,103.23,0.2482,16.04,26.06,8,92,5,2.08,9.7
2025-01-01 00:25:00,21.35,128.06,0.2409,19.99,27.18,21,56,18,2.57,8.11
2025-01-01 00:30:00,12.32,91.11,0.2731,13.41,25.1,13,53,5,2.16,6.62
2025-01-01 00:35:00,8.75,108.94,0.2261,14.53,26.36,4,25,5,4.0,5.75
2025-01-01 00:40:00,22.54,113.69,0.1138,16.1,25.67,4,165,18,3.08,10.16
2025-01-01 00:45:00,14.61,131.01,0.1595,20.82,24.76,4,55,7,2.49,6.3
2025-01-01 00:50:00,18.08,88.06,0.0862,17.66,23.58,4,63,6,2.88,9.12
2025-01-01 00:55:00,20.72,117.66,0.1802,18.63,25.88,10,48,14,1,13.69
2025-01-01 01:00:00,10.84,114.98,0.1294,16.0,25.4,6,38,7,2.13,7.89
2025-01-01 01:05:00,28.02,122.45,0.1233,18.28,26.84,7,62,22,3.72,11.21
2025-01-01 01:10:00,18.01,102.35,0.4328,15.83,27.22,5,0,11,1,7.93
2025-01-01 01:15:00,21.5,86.94,0.1619,19.34,27.13,12,105,5,1.11,8.42
2025-01-01 01:20:00,22.55,169.99,0.1801,25.09,29.22,4,65,20,3.47,3.94
2025-01-01 01:25:00,19.51,127.84,0.2115,20.26,27.25,8,114,13,2.88,7.68
2025-01-01 01:30:00,0,1071.69,3.4979,15.49,25.17,4,46,12,1.24,11.9
2025-01-01 01:35:00,14.85,100.45,0.2355,17.83,25.22,4,42,5,2.47,7.24
2025-01-01 01:40:00,12.23,201.53,0.1416,17.96,29.21,9,20,22,1.3,5.98
2025-01-01 01:45:00,19.84,101.72,0.1082,15.24,27.81,4,64,9,1.83,8.88
2025-01-01 01:50:00,0,473.42,0.5162,16.08,26.55,4,37,5,3.88,5.25
2025-01-01 01:55:00,23.18,99.45,0.2608,20.83,26.34,4,151,8,3.96,8.14
2025-01-01 02:00:00,15.89,130.39,0.2538,15.86,26.15,4,52,12,1,5.27
2025-01-01 02:05:00,11.28,228.61,0.2617,18.55,28.04,4,88,22,2.04,7.62
2025-01-01 02:10:00,11.29,85.81,0.1304,17.58,25.83,4,108,5,3.66,4.43
2025-01-01 02:15:00,8.53,173.31,0.1601,19.54,24.57,4,21,10,3.41,4.23
2025-01-01 02:20:00,23.77,155.77,0.0908,17.14,26.89,4,132,20,3.93,5.83
2025-01-01 02:25:00,14.15,110.32,0.3125,20.33,24.92,4,47,7,3.27,4.97
