timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-02 00:00:00,11.06,174.48,0.0599,14.12,25.81,8,0,13,1.15,7.3
2025-03-02 00:05:00,11.7,103.24,0.1608,20.66,25.78,4,32,5,2.13,10.46
2025-03-02 00:10:00,10.7,175.58,0.4563,15.38,26.21,4,128,16,3.33,5.04
2025-03-02 00:15:00,0,695.38,1.595,18.68,25.02,10,0,7,2.83,4.16
2025-03-02 00:20:00,16.91,81.57,0.3329,15.76,27.22,4,143,6,3.76,6.92
2025-03-02 00:25:00,5.96,196.4,0.2025,18.05,26.72,4,0,9,2.3,9.86
2025-03-02 00:30:00,10.84,116.76,0.2879,17.61,26.81,4,1,6,1,2
2025-03-02 00:35:00,0,456.98,0.3996,14.87,22.57,4,0,5,3.03,6.86
2025-03-02 00:40:00,7.04,128.04,0.1867,16.57,25.47,16,27,5,1.2,6.3
2025-03-02 00:45:00,7.09,140.3,0.237,19.46,25.48,4,8,6,1,6.45
2025-03-02 00:50:00,14.47,98.69,0.0525,15.63,24.97,6,105,5,1.65,6.95
2025-03-02 00:55:00,11.87,108.48,0.228,21.26,24.66,4,44,5,1.6,6.99
2025-03-02 01:00:00,1.45,359.56,0.0672,16.16,26.76,4,0,5,2.22,7.93
2025-03-02 01:05:00,11.69,102.34,0.0564,18.57,24.11,4,69,5,1.92,3.32
2025-03-02 01:10:00,10.56,166.01,0.101,22.35,24.99,8,21,10,1,5.68
2025-03-02 01:15:00,1.75,337.55,0.2405,14.73,24.24,4,0,6,2.98,8.01
2025-03-02 01:20:00,10.25,106.51,0.3111,18.97,26.66,4,0,5,1,6.5
2025-03-02 01:25:00,10.06,228.22,0.4138,17.28,29.1,4,53,18,4.78,6.8
2025-03-02 01:30:00,0,448.03,0.2913,19.69,25.7,10,7,5,1.31,7.53
2025-03-02 01:35:00,6.88,131.84,0.1575,14.52,25.39,4,11,5,1,5.54
2025-03-02 01:40:00,10.67,99.74,0.0707,15.96,21.55,4,53,5,2.67,8.06
