timestamp,unix_timestamp,cpu_usage_percent,memory_usage_percent,disk_io,network_latency_ms,active_threads,database_connections,requests_per_second,response_time_ms,error_rate_percent,active_users,api_success_count,api_failure_count,traffic_load_score,latency_volatility_index,anomaly_probability,seasonal_compliance_score,peak_hour_intensity,stability_index,is_anomaly
2024-01-01T00:00:00,1704067200,20.8,41.77,12.44,30.31,44,13,64.94,74.68,1.005,10,64.28,0.65,0.0983,0.0,0.0,0.9953,0.0812,0.9202,0
2024-01-01T00:05:00,1704067500,23.33,41.8,12.66,21.95,55,12,91.03,74.26,1.055,9,90.07,0.96,0.1156,0.0118,0.0012,0.9848,0.0104,0.9121,0
2024-01-01T00:10:00,1704067800,18.12,40.07,7.01,22.45,41,10,13.93,101.98,0.505,13,13.86,0.07,0.0728,0.0094,0.0009,0.9682,0.123,0.9319,0
2024-01-01T00:15:00,1704068100,26.52,40.83,14.43,25.27,42,6,61.08,87.06,0.131,34,61.0,0.08,0.1247,0.0077,0.0008,0.9795,0.072,0.9028,0
2024-01-01T00:20:00,1704068400,21.39,37.43,10.42,13.87,50,6,54.33,78.55,0.296,9,54.17,0.16,0.0966,0.012,0.0012,0.9826,0.0041,0.9219,0
2024-01-01T00:25:00,1704068700,16.2,39.01,13.18,14.09,45,12,36.62,78.0,0.738,23,36.35,0.27,0.0767,0.0128,0.0013,0.9978,0.0,0.9391,0
2024-01-01T00:30:00,1704069000,18.23,39.09,4.47,17.04,52,15,77.89,90.68,0.686,20,77.35,0.53,0.0967,0.0122,0.0012,0.9794,0.0202,0.9317,0
2024-01-01T00:35:00,1704069300,23.55,39.19,11.81,19.7,46,7,60.84,82.08,0.698,24,60.42,0.42,0.111,0.0113,0.0011,0.9598,0.0,0.9125,0
2024-01-01T00:40:00,1704069600,23.11,41.57,7.56,25.87,41,14,45.04,103.5,0.457,14,44.83,0.21,0.1011,0.0111,0.0011,0.9964,0.0563,0.9139,0
2024-01-01T00:45:00,1704069900,20.05,42.31,4.94,16.18,54,6,40.09,83.15,0.444,3,39.91,0.18,0.0852,0.011,0.0011,0.9555,0.0164,0.926,0
2024-01-01T00:50:00,1704070200,20.37,41.1,12.59,7.86,56,11,53.28,86.06,0.308,12,53.11,0.16,0.0935,0.0129,0.0013,0.9637,0.0098,0.9262,0
2024-01-01T00:55:00,1704070500,17.09,39.42,8.28,14.79,44,13,50.49,81.01,0.843,32,50.06,0.43,0.0872,0.0126,0.0013,0.982,0.0,0.9356,0
2024-01-01T01:00:00,1704070800,23.3,38.66,12.12,18.7,64,20,43.19,76.09,0.443,15,43.0,0.19,0.1015,0.0105,0.001,0.9917,0.1278,0.9142,0
2024-01-01T01:05:00,1704071100,17.53,40.16,6.09,25.97,62,14,57.47,86.31,0.475,11,57.2,0.27,0.0846,0.0113,0.0011,0.9852,0.0,0.9336,0
2024-01-01T01:10:00,1704071400,22.11,40.53,18.13,16.55,69,6,34.69,73.3,0.21,38,34.62,0.07,0.1016,0.011,0.0011,0.991,0.0058,0.9192,0
2024-01-01T01:15:00,1704071700,23.38,39.6,9.52,4.44,48,9,43.48,95.29,0.787,12,43.13,0.34,0.1009,0.0125,0.0012,0.9794,0.0,0.9148,0
2024-01-01T01:20:00,1704072000,20.12,38.81,8.12,15.27,49,4,28.57,74.05,0.595,29,28.4,0.17,0.0897,0.0124,0.0012,0.9754,0.0651,0.9255,0
2024-01-01T01:25:00,1704072300,22.42,41.11,13.96,20.8,46,14,50.91,76.42,0.323,11,50.75,0.16,0.0997,0.0126,0.0013,0.984,0.0,0.9173,0
2024-01-01T01:30:00,1704072600,24.62,41.28,9.66,9.67,53,9,57.11,89.26,0.875,32,56.61,0.5,0.1161,0.0132,0.0013,0.9707,0.0267,0.9096,0
2024-01-01T01:35:00,1704072900,20.67,37.64,22.66,23.12,40,7,27.67,63.91,0.509,32,27.53,0.14,0.0923,0.0137,0.0014,0.9729,0.0,0.9228,0
2024-01-01T01:40:00,1704073200,19.56,39.31,14.66,22.14,47,7,51.87,86.18,0.092,17,51.82,0.05,0.0918,0.0129,0.0013,0.9733,0.0013,0.9278,0
2024-01-01T01:45:00,1704073500,19.83,41.4,8.11,20.03,56,5,30.67,71.15,0.64,17,30.47,0.2,0.0857,0.0131,0.0013,0.9982,0.0172,0.9258,0
2024-01-01T01:50:00,1704073800,18.14,41.78,10.3,21.94,43,6,50.43,72.34,0.42,22,50.21,0.21,0.0878,0.0122,0.0012,0.9869,0.1146,0.9321,0
2024-01-01T01:55:00,1704074100,18.09,40.12,10.27,17.09,47,18,45.95,96.52,0.777,1,45.59,0.36,0.0796,0.012,0.0012,0.9765,0.0,0.932,0
2024-01-01T02:00:00,1704074400,21.11,40.66,5.78,17.02,54,9,46.22,73.33,0.414,15,46.03,0.19,0.0947,0.012,0.0012,0.9977,0.0,0.9222,0
2024-01-01T02:05:00,1704074700,19.59,40.45,15.13,16.74,48,19,51.36,93.74,0.381,14,51.16,0.2,0.0908,0.0109,0.0011,0.9709,0.0,0.9277,0
2024-01-01T02:10:00,1704075000,20.82,41.72,8.28,18.63,45,7,52.33,81.83,0.516,24,52.06,0.27,0.0985,0.0109,0.0011,0.993,0.0,0.9228,0
2024-01-01T02:15:00,1704075300,16.28,38.0,9.01,28.95,55,16,32.56,93.05,0.194,28,32.49,0.06,0.0771,0.0096,0.001,0.985,0.0,0.9384,0
2024-01-01T02:20:00,1704075600,19.77,40.48,10.87,16.14,49,5,45.64,64.43,0.082,25,45.6,0.04,0.0929,0.0094,0.0009,0.9582,0.0212,0.9279,0
2024-01-01T02:25:00,1704075900,22.58,38.4,6.34,24.58,51,16,57.83,67.43,1.062,25,57.22,0.61,0.1069,0.0099,0.001,0.9777,0.1644,0.9145,0
2024-01-01T02:30:00,1704076200,17.2,41.96,10.85,14.3,44,14,67.55,89.21,1.143,6,66.78,0.77,0.0852,0.0085,0.0008,0.9957,0.0,0.9345,0
2024-01-01T02:35:00,1704076500,20.04,38.09,7.99,19.9,45,9,48.03,97.78,0.503,12,47.79,0.24,0.0906,0.0082,0.0008,0.9995,0.0,0.9254,0
2024-01-01T02:40:00,1704076800,15.36,40.74,8.09,18.24,55,2,49.15,77.18,0.496,15,48.9,0.24,0.0754,0.0081,0.0008,0.983,0.0022,0.9422,0
2024-01-01T02:45:00,1704077100,16.74,38.41,9.35,2.03,61,13,50.33,73.77,0.759,12,49.95,0.38,0.0797,0.0129,0.0013,0.9932,0.0866,0.9387,0
2024-01-01T02:50:00,1704077400,22.02,41.35,7.06,21.19,45,10,46.09,82.45,0.807,23,45.71,0.37,0.1004,0.0128,0.0013,0.9854,0.0,0.9175,0
2024-01-01T02:55:00,1704077700,19.23,40.79,3.74,16.22,55,5,41.87,68.6,0.0,24,41.87,0.0,0.0894,0.0129,0.0013,0.9715,0.0,0.93,0
2024-01-01T03:00:00,1704078000,24.56,40.43,10.7,12.65,54,16,76.46,70.05,0.846,19,75.82,0.65,0.1182,0.0132,0.0013,0.9804,0.0378,0.9095,0
2024-01-01T03:05:00,1704078300,21.08,43.53,1.0,21.45,56,11,52.07,98.14,0.0,21,52.07,0.0,0.0984,0.0134,0.0013,0.9498,0.0441,0.9228,0
2024-01-01T03:10:00,1704078600,21.33,38.74,1.0,25.73,49,10,89.43,79.54,0.0,31,89.43,0.0,0.1149,0.0141,0.0014,0.9841,0.0,0.9214,0
2024-01-01T03:15:00,1704078900,17.31,41.67,10.18,19.27,57,10,54.09,90.93,0.271,22,53.94,0.15,0.0861,0.0125,0.0013,0.9953,0.0,0.9357,0
2024-01-01T03:20:00,1704079200,19.04,42.11,9.27,24.87,54,5,53.15,76.59,0.912,30,52.66,0.48,0.0944,0.0132,0.0013,0.9802,0.0737,0.9273,0
2024-01-01T03:25:00,1704079500,18.17,41.67,11.04,30.14,46,10,53.35,81.93,0.708,10,52.97,0.38,0.0851,0.0144,0.0014,0.9738,0.0167,0.9302,0
2024-01-01T03:30:00,1704079800,17.34,38.78,12.66,18.94,46,9,63.98,75.37,0.511,21,63.65,0.33,0.0892,0.0142,0.0014,0.9788,0.0,0.9351,0
2024-01-01T03:35:00,1704080100,21.66,39.58,2.09,21.63,69,15,44.91,89.2,0.516,19,44.68,0.23,0.0975,0.0142,0.0014,0.976,0.0,0.9194,0
2024-01-01T03:40:00,1704080400,22.16,38.91,7.54,22.25,56,5,67.87,86.58,0.328,7,67.64,0.22,0.1032,0.0143,0.0014,0.9788,0.0,0.918,0
2024-01-01T03:45:00,1704080700,21.0,39.46,8.21,24.48,52,13,81.4,89.58,0.709,21,80.82,0.58,0.1079,0.0092,0.0009,0.9728,0.0111,0.9209,0
2024-01-01T03:50:00,1704081000,17.93,38.49,11.25,15.79,47,5,42.21,75.0,0.799,24,41.87,0.34,0.085,0.0098,0.001,0.9921,0.052,0.9326,0
2024-01-01T03:55:00,1704081300,20.83,39.35,10.91,25.51,47,9,42.22,66.0,0.597,18,41.96,0.25,0.0933,0.0095,0.001,0.9713,0.0234,0.9217,0
2024-01-01T04:00:00,1704081600,15.22,42.64,8.38,23.9,51,11,28.0,82.35,0.192,19,27.95,0.05,0.0691,0.0076,0.0008,0.9923,0.0193,0.9427,0
2024-01-01T04:05:00,1704081900,23.31,39.43,10.18,22.69,42,9,33.71,75.87,0.636,25,33.49,0.21,0.1014,0.0075,0.0008,0.9883,0.0,0.9132,0
2024-01-01T04:10:00,1704082200,16.75,40.19,8.9,26.48,37,14,33.93,88.72,0.669,16,33.71,0.23,0.0755,0.0076,0.0008,0.9917,0.0207,0.9358,0
2024-01-01T04:15:00,1704082500,17.2,38.69,6.35,24.48,55,8,29.76,85.28,0.332,17,29.66,0.1,0.076,0.0073,0.0007,0.9926,0.0,0.9353,0
2024-01-01T04:20:00,1704082800,20.29,39.97,10.22,14.68,62,13,20.85,91.21,0.849,22,20.67,0.18,0.0856,0.0088,0.0009,0.9984,0.0802,0.9243,0
2024-01-01T04:25:00,1704083100,20.51,41.49,1.42,20.31,62,9,47.9,76.26,0.053,12,47.87,0.03,0.0922,0.0075,0.0007,0.9882,0.0,0.9248,0
2024-01-01T04:30:00,1704083400,19.82,40.88,10.98,24.11,55,6,86.2,81.97,0.493,0,85.77,0.42,0.0988,0.0073,0.0007,0.9679,0.0,0.9257,0
2024-01-01T04:35:00,1704083700,17.22,42.55,15.65,24.5,46,16,71.87,74.08,0.616,25,71.43,0.44,0.0927,0.0074,0.0007,0.9615,0.0,0.9345,0
2024-01-01T04:40:00,1704084000,22.83,37.82,8.61,8.05,61,17,41.44,71.51,0.292,11,41.32,0.12,0.098,0.0112,0.0011,0.9928,0.0283,0.9175,0
2024-01-01T04:45:00,1704084300,15.79,38.64,18.25,18.2,62,10,58.47,94.87,0.611,23,58.11,0.36,0.0825,0.0111,0.0011,0.9905,0.0,0.9404,0
2024-01-01T04:50:00,1704084600,16.29,39.26,12.41,25.09,52,5,38.59,80.87,0.545,34,38.38,0.21,0.0811,0.0109,0.0011,0.9858,0.0,0.9379,0
2024-01-01T04:55:00,1704084900,19.73,42.74,15.83,25.09,60,9,59.27,88.76,0.745,9,58.83,0.44,0.0923,0.0108,0.0011,0.9922,0.0,0.9252,0
2024-01-01T05:00:00,1704085200,16.84,40.54,11.54,11.44,34,9,28.55,75.06,0.692,19,28.36,0.2,0.075,0.0121,0.0012,0.9891,0.0323,0.9373,0
2024-01-01T05:05:00,1704085500,23.06,37.45,12.21,16.3,53,13,55.51,74.73,0.513,32,55.23,0.28,0.11,0.0122,0.0012,0.9836,0.0,0.9152,0
2024-01-01T05:10:00,1704085800,17.05,41.97,10.57,21.18,53,17,61.4,74.65,0.731,12,60.95,0.45,0.0845,0.0116,0.0012,0.9942,0.0,0.9352,0
2024-01-01T05:15:00,1704086100,23.89,40.2,3.73,20.6,45,18,46.08,88.82,0.276,27,45.96,0.13,0.1083,0.0112,0.0011,0.9845,0.0,0.9123,0
2024-01-01T05:20:00,1704086400,23.77,42.25,3.43,21.28,51,9,68.96,77.48,0.488,24,68.62,0.34,0.1145,0.0109,0.0011,0.9812,0.0393,0.9121,0
2024-01-01T05:25:00,1704086700,25.6,44.22,11.77,24.61,67,16,63.08,91.26,0.242,30,62.93,0.15,0.1209,0.0112,0.0011,0.9889,0.0454,0.9058,0
2024-01-01T05:30:00,1704087000,25.3,38.56,8.22,21.02,55,15,44.58,79.65,0.42,26,44.4,0.19,0.1124,0.011,0.0011,0.9702,0.0,0.9069,0
2024-01-01T05:35:00,1704087300,22.98,44.37,10.75,22.26,65,15,58.56,101.58,0.162,43,58.47,0.09,0.1142,0.0107,0.0011,0.9528,0.0,0.9156,0
2024-01-01T05:40:00,1704087600,19.62,41.04,7.29,25.18,66,14,70.43,81.65,0.586,37,70.02,0.41,0.1044,0.0083,0.0008,0.9708,0.0434,0.926,0
2024-01-01T05:45:00,1704087900,20.66,39.75,15.43,25.17,57,17,61.53,68.37,0.192,45,61.41,0.12,0.1076,0.0084,0.0008,0.9945,0.036,0.9233,0
2024-01-01T05:50:00,1704088200,21.59,41.92,9.16,24.16,64,11,71.04,102.05,0.634,36,70.59,0.45,0.1113,0.0082,0.0008,0.9887,0.108,0.9191,0
2024-01-01T05:55:00,1704088500,23.61,40.79,11.49,33.47,73,20,88.21,79.81,0.055,55,88.16,0.05,0.1301,0.0106,0.0011,0.9977,0.0051,0.9122,0
2024-01-01T06:00:00,1704088800,23.6,41.72,13.67,21.68,50,19,66.58,86.51,0.231,33,66.42,0.15,0.1159,0.0082,0.0008,0.974,0.0431,0.9133,0
2024-01-01T06:05:00,1704089100,25.52,43.0,21.21,28.92,80,13,123.03,71.54,0.916,47,121.9,1.13,0.1459,0.0077,0.0008,0.9945,0.0,0.9039,0
2024-01-01T06:10:00,1704089400,18.12,38.31,13.39,18.42,53,2,44.5,89.14,0.646,9,44.22,0.29,0.0817,0.0082,0.0008,0.9933,0.0338,0.932,0
2024-01-01T06:15:00,1704089700,25.35,42.09,13.91,20.78,77,20,103.85,98.29,0.754,66,103.06,0.78,0.1449,0.0082,0.0008,0.9988,0.0131,0.9059,0
2024-01-01T06:20:00,1704090000,26.58,44.89,14.83,30.46,68,26,59.97,88.9,0.491,51,59.67,0.29,0.1299,0.0088,0.0009,0.9888,0.0292,0.901,0
2024-01-01T06:25:00,1704090300,27.42,42.43,22.05,33.46,70,19,107.8,98.71,0.5,49,107.27,0.54,0.1482,0.0101,0.001,0.9952,0.0541,0.8976,0
2024-01-01T06:30:00,1704090600,22.14,41.59,21.13,31.56,80,17,95.1,101.85,0.256,59,94.86,0.24,0.1284,0.0103,0.001,0.988,0.0,0.9171,0
2024-01-01T06:35:00,1704090900,22.44,42.55,16.99,25.51,48,13,87.85,85.69,0.339,29,87.55,0.3,0.1177,0.01,0.001,0.9944,0.0,0.9166,0
2024-01-01T06:40:00,1704091200,26.24,44.98,18.74,21.43,55,19,116.22,87.21,0.148,45,116.04,0.17,0.1456,0.0104,0.001,0.9836,0.0325,0.9042,0
2024-01-01T06:45:00,1704091500,25.09,44.39,19.18,33.74,87,29,119.88,110.61,0.772,62,118.96,0.92,0.148,0.0112,0.0011,0.9617,0.0382,0.9052,0
2024-01-01T06:50:00,1704091800,30.1,43.45,29.38,43.55,87,27,136.44,113.39,1.087,81,134.96,1.48,0.1772,0.0146,0.0015,0.9795,0.0456,0.8854,0
2024-01-01T06:55:00,1704092100,28.0,39.58,22.83,30.17,61,28,132.19,103.63,0.143,64,132.0,0.19,0.163,0.0143,0.0014,0.9946,0.0133,0.8969,0
2024-01-01T07:00:00,1704092400,28.97,42.56,18.86,31.66,73,28,94.55,99.97,0.659,55,93.93,0.62,0.1511,0.0137,0.0014,0.9791,0.122,0.892,0
2024-01-01T07:05:00,1704092700,28.91,46.65,22.41,38.54,84,28,151.02,89.79,0.805,68,149.81,1.22,0.1738,0.0148,0.0015,0.991,0.0,0.891,0
2024-01-01T07:10:00,1704093000,29.41,48.07,21.67,35.96,92,18,145.05,112.25,0.296,84,144.62,0.43,0.1786,0.0132,0.0013,0.9931,0.0657,0.8908,0
2024-01-01T07:15:00,1704093300,36.24,44.68,15.81,36.21,90,30,160.81,115.79,0.466,86,160.06,0.75,0.2086,0.0116,0.0012,0.9904,0.0675,0.8662,0
2024-01-01T07:20:00,1704093600,32.44,45.23,17.22,35.04,91,24,137.2,113.02,0.681,85,136.26,0.93,0.187,0.0116,0.0012,0.9864,0.0705,0.8792,0
2024-01-01T07:25:00,1704093900,34.05,48.17,21.98,42.01,89,24,160.78,102.52,0.48,95,160.01,0.77,0.2037,0.0127,0.0013,0.9983,0.0714,0.8732,0
2024-01-01T07:30:00,1704094200,35.09,46.61,21.62,42.87,84,26,140.6,99.74,0.768,74,139.52,1.08,0.1941,0.0136,0.0014,0.993,0.0,0.8686,0
2024-01-01T07:35:00,1704094500,35.24,49.67,23.07,29.88,109,30,159.29,132.5,0.727,101,158.13,1.16,0.2093,0.0127,0.0013,0.9982,0.1856,0.8699,0
2024-01-01T07:40:00,1704094800,35.71,46.64,20.92,41.72,106,32,153.47,115.31,0.903,61,152.09,1.39,0.1965,0.0099,0.001,0.9918,0.144,0.8663,0
2024-01-01T07:45:00,1704095100,33.89,48.36,30.22,39.94,100,24,204.23,110.26,0.617,98,202.97,1.26,0.2185,0.0098,0.001,0.9724,0.0272,0.8737,0
2024-01-01T07:50:00,1704095400,34.28,47.21,32.91,35.91,83,24,153.75,117.24,0.775,112,152.56,1.19,0.2075,0.009,0.0009,0.9947,0.1119,0.8724,0
2024-01-01T07:55:00,1704095700,34.75,45.77,29.61,45.94,96,25,158.64,106.38,0.0,93,158.64,0.0,0.2048,0.0095,0.0009,0.9839,0.1326,0.8714,0
2024-01-01T08:00:00,1704096000,40.67,51.22,19.62,47.72,101,37,207.19,131.73,0.275,104,206.62,0.57,0.2453,0.0101,0.001,0.9938,0.0533,0.8496,0
2024-01-01T08:05:00,1704096300,41.11,46.75,33.22,38.71,109,29,195.59,132.65,0.909,132,193.81,1.78,0.2518,0.0101,0.001,0.9915,0.1739,0.8475,0
2024-01-01T08:10:00,1704096600,39.07,48.51,32.13,48.6,112,25,180.81,114.58,0.6,115,179.72,1.09,0.2343,0.0112,0.0011,0.9748,0.1102,0.8543,0
