timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-03 00:00:00,13.05,151.63,0.1245,15.23,27.34,4,41,20,2.16,7.47
2025-03-03 00:05:00,20.24,104.54,0.1132,19.55,27.61,4,141,14,1.65,8.2
2025-03-03 00:10:00,13.12,89.82,0.0837,18.68,26.81,4,59,5,1.69,5.79
2025-03-03 00:15:00,11.93,95.66,0.0607,18.36,25.85,4,63,5,1.52,6.87
2025-03-03 00:20:00,24.22,98.1,0.097,18.48,27.25,5,93,14,2.65,8.57
2025-03-03 00:25:00,12.58,86.02,0.0508,16.0,27.34,4,24,5,1.73,5.44
2025-03-03 00:30:00,21.92,130.52,0.1326,18.12,27.31,4,87,23,1.83,5.59
2025-03-03 00:35:00,18.9,114.67,0.0776,18.53,26.16,4,83,12,2.35,6.88
2025-03-03 00:40:00,15.33,90.74,0.1134,16.93,26.16,4,66,5,1.88,8.84
2025-03-03 00:45:00,16.5,144.6,0.0551,19.0,26.92,8,79,21,2.8,8.05
2025-03-03 00:50:00,8.57,90.3,0.07,16.83,25.14,4,0,5,1.91,8.31
2025-03-03 00:55:00,9.37,97.4,0.0615,17.97,25.23,6,86,5,2.45,7.22
2025-03-03 01:00:00,20.49,78.2,0.1039,17.2,25.23,6,93,6,1.88,6.25
2025-03-03 01:05:00,21.75,85.19,0.0638,18.5,25.83,8,105,8,1.5,7.72
2025-03-03 01:10:00,34.44,96.23,0.1053,18.52,27.14,4,154,18,1.81,5.16
2025-03-03 01:15:00,29.98,107.18,0.1487,18.21,28.02,7,108,22,1.9,7.05
2025-03-03 01:20:00,25.03,93.16,0.078,17.86,24.86,9,109,12,2.29,6.42
2025-03-03 01:25:00,15.09,94.96,0.0774,17.82,27.55,5,32,7,2.43,7.5
2025-03-03 01:30:00,15.5,78.36,0.1593,16.88,26.01,4,25,5,2.35,8.12
2025-03-03 01:35:00,12.21,81.92,0.0531,15.5,27.43,4,45,5,2.71,6.05
2025-03-03 01:40:00,17.83,82.19,0.0631,19.04,25.98,4,72,5,2.7,7.22
2025-03-03 01:45:00,14.74,120.62,0.1298,17.3,27.84,4,85,13,1.49,7.85
2025-03-03 01:50:00,25.3,109.93,0.0772,19.13,27.53,4,75,18,2.67,6.74
2025-03-03 01:55:00,19.81,130.15,0.1103,17.7,26.11,4,98,22,2.48,8.78
2025-03-03 02:00:00,25.59,111.65,0.1639,17.97,26.49,8,108,19,1.89,6.43
2025-03-03 02:05:00,0.99,360.45,0.2887,15.57,25.13,4,0,5,1.7,5.76
2025-03-03 02:10:00,15.3,102.52,0.1203,19.65,27.9,4,55,8,2.76,5.35
2025-03-03 02:15:00,16.53,89.15,0.1102,18.34,24.94,11,24,7,1.95,8.15
2025-03-03 02:20:00,0.59,360.26,0.3147,17.19,25.71,4,6,5,1.98,6.59
2025-03-03 02:25:00,8.33,169.14,0.1003,17.1,26.84,7,6,14,1.84,7.0
2025-03-03 02:30:00,20.57,113.01,0.148,18.56,25.64,4,96,16,2.23,7.61
2025-03-03 02:35:00,20.37,76.53,0.1161,17.53,24.76,4,45,5,2.27,6.98
2025-03-03 02:40:00,19.44,94.96,0.058,16.65,26.16,4,75,9,1,6.22
2025-03-03 02:45:00,14.76,114.47,0.0759,17.75,26.2,5,45,12,2.5,8.01
2025-03-03 02:50:00,18.69,102.77,0.052,17.66,26.26,4,93,11,2.09,8.63
2025-03-03 02:55:00,17.92,99.65,0.1278,16.93,24.9,4,83,12,2.12,9.04
2025-03-03 03:00:00,10.81,144.66,0.1014,16.09,27.36,4,29,12,1.92,7.61
2025-03-03 03:05:00,23.19,96.72,0.1043,18.96,27.35,4,134,12,3.04,6.04
2025-03-03 03:10:00,19.76,110.48,0.0734,16.9,25.48,5,67,15,2.16,6.98
2025-03-03 03:15:00,11.25,137.77,0.1212,15.41,25.67,4,28,13,2.41,8.8
2025-03-03 03:20:00,17.25,112.06,0.1043,17.26,26.27,4,50,14,2.89,5.62
2025-03-03 03:25:00,23.1,102.8,0.0972,18.68,25.95,7,124,15,2.22,9.38
2025-03-03 03:30:00,8.27,152.91,0.0535,14.36,26.43,4,46,12,1.52,7.57
2025-03-03 03:35:00,18.88,87.51,0.0543,18.35,27.88,6,44,8,2.55,9.66
2025-03-03 03:40:00,18.96,101.42,0.0876,17.42,26.52,4,39,12,2.35,8.07
2025-03-03 03:45:00,8.51,89.93,0.1177,16.7,25.14,4,14,5,2.17,6.84
2025-03-03 03:50:00,18.24,125.71,0.054,19.02,26.83,10,91,17,1.76,7.13
2025-03-03 03:55:00,15.79,84.09,0.1033,18.71,26.46,7,30,6,2.99,8.27
2025-03-03 04:00:00,14.97,85.2,0.0574,15.17,25.52,4,79,5,2.43,7.11
2025-03-03 04:05:00,23.96,95.84,0.074,18.3,28.51,7,110,17,2.73,4.99
2025-03-03 04:10:00,22.07,136.4,0.0892,18.92,29.06,4,66,27,1.79,6.05
2025-03-03 04:15:00,23.61,109.35,0.1182,19.33,27.1,11,55,19,2.48,7.53
2025-03-03 04:20:00,30.27,103.4,0.1122,20.33,27.88,7,93,17,1.63,8.09
2025-03-03 04:25:00,23.15,99.91,0.1101,16.67,27.42,4,40,13,1.25,7.5
2025-03-03 04:30:00,19.18,98.05,0.0883,18.62,26.82,4,105,7,2.97,6.68
2025-03-03 04:35:00,18.31,105.95,0.0962,16.77,27.65,4,35,15,2.7,8.03
2025-03-03 04:40:00,12.14,138.29,0.0656,18.84,25.49,6,47,15,2.11,6.39
2025-03-03 04:45:00,22.63,125.76,0.143,18.57,25.91,4,37,19,2.28,7.57
2025-03-03 04:50:00,18.45,77.38,0.1208,17.98,26.31,7,36,5,2.16,6.83
2025-03-03 04:55:00,25.36,87.66,0.0753,19.48,26.18,10,113,12,2.44,8.21
2025-03-03 05:00:00,25.62,107.62,0.0802,17.2,28.02,8,90,19,1.73,6.16
2025-03-03 05:05:00,21.61,74.65,0.1016,17.36,26.05,4,66,5,1.64,7.37
2025-03-03 05:10:00,17.54,73.54,0.093,18.1,25.85,4,75,5,2.16,8.18
2025-03-03 05:15:00,15.32,162.27,0.075,17.48,26.86,4,42,23,2.09,6.78
2025-03-03 05:20:00,27.07,91.44,0.1033,18.96,26.82,4,90,13,2.62,7.48
2025-03-03 05:25:00,24.86,95.38,0.0755,18.6,27.34,4,58,16,2.05,7.88
2025-03-03 05:30:00,24.79,101.02,0.0739,18.26,27.59,5,120,13,1.52,4.89
2025-03-03 05:35:00,13.84,138.72,0.0973,17.65,27.85,8,60,16,1.42,7.74
2025-03-03 05:40:00,14.26,115.45,0.0549,17.67,26.14,9,106,14,3.27,6.88
2025-03-03 05:45:00,26.48,71.82,0.0761,16.1,28.15,6,111,5,1.3,6.37
2025-03-03 05:50:00,29.71,98.12,0.0658,19.58,26.57,7,96,18,3.22,6.68
2025-03-03 05:55:00,24.14,83.51,0.1172,19.04,26.87,8,22,10,2.66,7.75
2025-03-03 06:00:00,23.11,93.13,0.0538,18.59,27.5,10,23,12,1,6.41
2025-03-03 06:05:00,21.12,88.33,0.1041,17.57,27.03,4,104,10,1.51,7.1
2025-03-03 06:10:00,29.69,91.43,0.0554,19.08,27.12,4,78,15,2.39,7.7
2025-03-03 06:15:00,32.96,99.38,0.0858,17.02,26.11,5,128,18,2.15,8.69
2025-03-03 06:20:00,37.33,72.7,0.0603,17.22,27.26,5,138,11,3.32,7.25
2025-03-03 06:25:00,44.93,89.41,0.0518,20.53,28.61,9,145,28,3.09,10.2
2025-03-03 06:30:00,47.83,98.82,0.0947,22.23,28.7,10,144,22,1.42,8.21
2025-03-03 06:35:00,37.21,87.6,0.0532,19.12,26.19,12,179,17,2.1,8.44
2025-03-03 06:40:00,36.89,87.38,0.1159,21.36,27.97,6,103,16,2.11,7.92
2025-03-03 06:45:00,48.18,122.64,0.1377,21.78,30.22,7,166,42,1.82,7.56
2025-03-03 06:50:00,60.92,102.38,0.0504,21.83,29.73,11,214,41,2.67,6.34
2025-03-03 06:55:00,61.5,99.16,0.0697,23.58,30.26,10,187,31,2.84,8.85
2025-03-03 07:00:00,66.89,110.16,0.0868,23.31,29.73,12,282,40,3.73,8.82
2025-03-03 07:05:00,69.68,99.34,0.0978,21.44,29.94,16,266,34,1.85,7.82
2025-03-03 07:10:00,65.98,109.89,0.0676,24.27,31.3,11,224,36,2.3,7.8
2025-03-03 07:15:00,75.92,114.55,0.0588,24.29,30.97,10,303,45,2.36,8.7
2025-03-03 07:20:00,76.14,114.13,0.1109,24.55,31.24,10,240,46,3.2,9.73
2025-03-03 07:25:00,68.99,113.47,0.1219,24.07,29.64,16,283,43,2.53,9.46
2025-03-03 07:30:00,79.68,99.55,0.0912,22.62,29.41,11,302,41,1.66,7.49
2025-03-03 07:35:00,106.37,114.68,0.0629,28.76,32.92,23,392,65,2.1,10.61
2025-03-03 07:40:00,95.69,103.87,0.1271,25.9,32.59,19,385,58,2.44,10.93
2025-03-03 07:45:00,76.79,92.79,0.0678,23.88,30.82,17,302,29,2.17,10.28
2025-03-03 07:50:00,94.06,101.83,0.1255,27.1,33.19,17,347,52,2.4,10.95
2025-03-03 07:55:00,89.31,97.0,0.0747,26.35,31.43,21,369,46,2.64,8.05
2025-03-03 08:00:00,100.81,110.42,0.0842,23.51,34.1,16,404,61,3.39,8.82
2025-03-03 08:05:00,97.28,112.6,0.0549,28.76,32.27,22,389,51,3.12,10.46
2025-03-03 08:10:00,106.59,120.77,0.0786,30.79,32.78,24,447,61,2.23,10.62
2025-03-03 08:15:00,108.0,116.34,0.1477,31.35,32.27,27,392,60,2.22,11.79
2025-03-03 08:20:00,112.43,116.01,0.0939,30.2,33.56,23,418,66,3.2,10.61
2025-03-03 08:25:00,114.24,108.54,0.0764,32.48,33.04,21,405,55,2.27,10.5
2025-03-03 08:30:00,122.01,95.53,0.0598,29.29,33.78,26,464,56,1.67,10.06
2025-03-03 08:35:00,119.63,108.21,0.1157,30.23,33.53,18,470,68,2.81,9.16
2025-03-03 08:40:00,124.41,119.49,0.0747,29.9,36.26,20,476,76,3.69,11.99
2025-03-03 08:45:00,140.74,109.85,0.0744,30.94,35.29,23,542,74,2.92,10.67
2025-03-03 08:50:00,129.89,103.48,0.0706,31.03,33.36,22,495,66,2.81,10.81
2025-03-03 08:55:00,134.09,116.87,0.0702,30.51,36.23,25,487,80,3.5,9.86
2025-03-03 09:00:00,139.62,121.19,0.0619,33.33,36.43,25,533,68,2.91,12.42
2025-03-03 09:05:00,141.9,110.98,0.0906,33.56,36.97,32,547,78,1.39,10.98
2025-03-03 09:10:00,142.62,110.93,0.0987,32.09,36.43,31,570,82,1.43,10.38
2025-03-03 09:15:00,149.33,117.26,0.0667,34.12,36.62,25,568,80,3.4,10.07
2025-03-03 09:20:00,152.51,116.26,0.0557,37.81,37.44,29,620,82,2.65,10.88
2025-03-03 09:25:00,153.18,117.95,0.0996,35.95,37.28,34,643,96,2.81,10.4
2025-03-03 09:30:00,147.83,116.41,0.0785,32.87,36.57,26,591,81,3.07,11.83
2025-03-03 09:35:00,164.08,120.86,0.0638,37.14,39.51,32,630,94,3.72,12.99
2025-03-03 09:40:00,168.94,126.56,0.1809,38.67,38.69,36,625,101,2.67,13.39
2025-03-03 09:45:00,169.06,116.11,0.0858,37.23,38.18,35,620,81,3.49,14.77
2025-03-03 09:50:00,177.74,112.77,0.1025,38.28,40.43,38,615,95,1.77,12.97
2025-03-03 09:55:00,185.56,136.94,0.0713,41.51,39.88,42,696,107,4.35,10.67
2025-03-03 10:00:00,177.48,127.35,0.1058,38.55,39.53,37,680,98,3.41,12.41
2025-03-03 10:05:00,171.99,117.7,0.0808,36.55,37.44,32,693,92,3.79,11.82
2025-03-03 10:10:00,185.23,124.49,0.0924,39.75,40.67,42,714,103,2.37,13.76
2025-03-03 10:15:00,192.34,121.96,0.0662,39.67,39.28,35,763,95,2.97,10.88
2025-03-03 10:20:00,193.96,125.37,0.0797,40.76,39.05,35,728,99,2.51,12.63
2025-03-03 10:25:00,204.75,118.58,0.0528,43.38,41.27,43,812,113,3.19,13.03
2025-03-03 10:30:00,212.68,130.85,0.1033,44.5,41.33,44,795,126,3.3,12.16
2025-03-03 10:35:00,212.19,123.72,0.0971,44.06,41.18,43,812,109,2.13,14.32
2025-03-03 10:40:00,215.05,121.64,0.1734,43.02,42.56,46,843,123,3.01,14.93
2025-03-03 10:45:00,221.46,125.43,0.116,44.6,43.6,42,836,120,3.52,13.59
2025-03-03 10:50:00,221.63,126.8,0.1152,43.88,42.92,44,856,115,3.0,14.82
2025-03-03 10:55:00,216.79,140.42,0.1393,44.53,42.42,41,834,134,2.43,14.3
