timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-01-01 00:00:00,1.52,539.5,0.8503,16.14,23.87,4,56,9,1.98,9.42
2025-01-01 00:05:00,27.06,83.01,0.2168,15.02,27.15,6,118,14,3.38,5.25
2025-01-01 00:10:00,20.99,138.78,0.2206,16.21,27.33,6,74,14,1.68,7.64
2025-01-01 00:15:00,13.75,142.08,0.3461,16.97,28.81,12,0,15,1.54,9.32
2025-01-01 00:20:00,17.27,113.1,0.0996,20.22,25.34,4,41,7,3.81,3.03
2025-01-01 00:25:00,14.56,123.51,0.0837,20.64,25.6,8,93,8,3.28,8.95
2025-01-01 00:30:00,17.49,147.96,0.3573,16.59,27.95,4,144,15,2.72,6.86
2025-01-01 00:35:00,25.06,91.15,0.088,19.26,24.81,4,130,8,1.95,10.05
2025-01-01 00:40:00,7.63,180.49,0.1174,16.99,28.0,4,60,10,1,10.66
2025-01-01 00:45:00,20.02,104.76,0.1288,16.58,23.66,4,70,8,1.56,7.01
2025-01-01 00:50:00,20.98,86.06,0.0601,17.71,24.8,4,56,8,2.01,5.32
2025-01-01 00:55:00,23.6,134.86,0.4103,22.91,27.84,13,60,18,1.9,8.99
2025-01-01 01:00:00,14.6,91.77,0.1645,17.19,24.38,4,65,5,1.67,4.32
2025-01-01 01:05:00,6.4,181.16,0.153,16.46,27.73,4,48,9,2.04,5.2
2025-01-01 01:10:00,17.86,127.37,0.1989,16.75,28.57,4,69,16,2.6,6.79
2025-01-01 01:15:00,16.82,110.87,0.1397,19.63,24.08,7,16,6,1.79,6.74
2025-01-01 01:20:00,18.46,202.23,0.1165,15.01,28.47,11,51,32,1.64,4.15
2025-01-01 01:25:00,11.95,116.53,0.0868,19.57,25.02,4,115,5,1.23,10.03
2025-01-01 01:30:00,23.94,78.47,0.1618,19.92,24.07,4,137,6,1.95,10.31
2025-01-01 01:35:00,21.62,135.08,0.0656,16.43,26.38,4,147,18,3.01,11.27
2025-01-01 01:40:00,13.72,133.24,0.0895,13.37,28.82,4,71,14,1,9.47
2025-01-01 01:45:00,5.48,126.81,0.0612,16.0,24.5,8,0,5,1,5.42
2025-01-01 01:50:00,15.6,109.41,0.1602,16.34,25.34,7,44,6,1.38,6.68
2025-01-01 01:55:00,23.19,131.85,0.2262,18.07,25.71,8,128,20,1.3,6.4
2025-01-01 02:00:00,19.17,92.65,0.1332,16.91,25.76,4,70,5,1.33,5.32
2025-01-01 02:05:00,16.1,112.46,0.1778,19.17,25.29,4,30,5,1,4.37
2025-01-01 02:10:00,13.92,115.52,0.1952,21.01,26.3,6,113,7,3.11,7.26
2025-01-01 02:15:00,14.6,104.61,0.2665,18.63,25.59,4,77,8,1.56,8.89
2025-01-01 02:20:00,17.74,140.51,0.1587,17.17,27.74,4,81,13,3.45,8.29
2025-01-01 02:25:00,27.67,94.49,0.1489,23.17,27.58,7,130,5,3.12,9.86
2025-01-01 02:30:00,18.31,129.76,0.0864,17.68,25.78,4,105,9,2.71,6.19
2025-01-01 02:35:00,20.99,100.21,0.1865,19.28,26.33,12,84,5,1.83,8.33
2025-01-01 02:40:00,7.06,123.29,0.1665,11.98,26.15,4,40,5,2.44,6.55
2025-01-01 02:45:00,18.29,98.78,0.3504,18.14,27.12,11,107,5,3.44,5.48
2025-01-01 02:50:00,16.23,143.97,0.3577,18.96,24.72,12,51,16,1.11,7.08
2025-01-01 02:55:00,3.52,257.16,0.1067,14.3,24.15,4,26,8,2.26,7.94
2025-01-01 03:00:00,9.69,168.52,0.0522,14.78,26.24,6,52,15,1,7.58
2025-01-01 03:05:00,18.88,166.52,0.3128,15.96,26.79,4,137,25,1,2.87
2025-01-01 03:10:00,20.57,186.86,0.1863,14.63,27.25,4,76,32,1.5,8.35
2025-01-01 03:15:00,12.65,125.54,0.4615,15.14,27.11,4,43,9,2.36,8.47
2025-01-01 03:20:00,21.93,170.45,0.1904,13.74,27.91,4,156,27,1.99,8.47
2025-01-01 03:25:00,20.09,156.94,0.1977,18.82,29.17,4,29,19,1.21,4.11
2025-01-01 03:30:00,20.45,166.52,0.2249,18.73,27.67,8,86,25,1.73,3.69
2025-01-01 03:35:00,21.93,98.82,0.0532,22.26,27.07,4,70,11,4.41,10.39
2025-01-01 03:40:00,18.06,138.02,0.0619,18.36,27.39,8,76,12,1,4.78
2025-01-01 03:45:00,8.24,219.46,0.2024,14.31,26.6,4,16,17,2.91,6.13
2025-01-01 03:50:00,20.8,152.31,0.0548,18.71,28.79,15,92,19,1,8.64
2025-01-01 03:55:00,13.97,90.32,0.0912,15.97,25.83,4,49,5,1.19,6.54
2025-01-01 04:00:00,15.47,111.15,0.0616,18.72,25.58,4,84,8,3.05,8.84
2025-01-01 04:05:00,11.48,93.4,0.2311,14.47,28.38,4,56,5,1.89,7.61
2025-01-01 04:10:00,13.8,189.34,0.1814,17.57,30.2,6,57,20,2.05,8.08
2025-01-01 04:15:00,8.76,114.07,0.3024,19.12,26.9,4,0,5,2.32,8.01
2025-01-01 04:20:00,15.75,108.93,0.1232,19.98,27.42,4,91,5,1.91,6.67
2025-01-01 04:25:00,19.49,99.76,0.2127,16.61,24.0,4,61,9,2.09,3.92
2025-01-01 04:30:00,6.6,129.1,0.2182,14.46,26.31,4,29,5,2.31,8.16
2025-01-01 04:35:00,6.61,115.08,0.139,13.01,26.17,4,51,5,1.87,5.79
2025-01-01 04:40:00,10.56,171.21,0.2096,16.84,28.82,4,0,13,1,8.16
2025-01-01 04:45:00,28.69,107.15,0.0961,17.88,26.7,4,152,17,1.11,6.24
2025-01-01 04:50:00,14.64,108.97,0.1127,19.24,28.36,6,71,5,2.5,4.2
2025-01-01 04:55:00,22.96,109.19,0.2458,21.77,26.01,4,85,8,3.17,10.3
2025-01-01 05:00:00,25.0,92.27,0.1252,14.1,23.99,4,71,11,2.94,4.85
2025-01-01 05:05:00,29.86,152.34,0.1394,18.55,28.99,7,118,23,3.14,8.27
2025-01-01 05:10:00,21.84,72.74,0.1994,17.0,26.96,7,102,5,1,3.72
2025-01-01 05:15:00,23.56,137.95,0.2991,17.15,24.66,4,77,19,1.28,9.25
2025-01-01 05:20:00,28.6,110.77,0.117,20.38,25.24,6,55,14,1.56,9.04
2025-01-01 05:25:00,38.36,126.76,0.1009,19.8,30.32,8,151,26,3.19,5.26
2025-01-01 05:30:00,46.05,120.84,0.1419,21.38,26.48,7,107,21,1,10.4
2025-01-01 05:35:00,39.32,123.72,0.1523,19.58,28.43,7,75,24,2.43,7.54
2025-01-01 05:40:00,36.64,123.6,0.1375,17.45,27.44,6,146,17,1.78,8.35
2025-01-01 05:45:00,36.36,131.04,0.1627,15.39,30.73,5,158,32,1,7.41
2025-01-01 05:50:00,63.91,109.36,0.2938,27.46,30.71,17,246,24,3.07,10.27
2025-01-01 05:55:00,47.65,116.18,0.1323,20.74,27.79,4,181,24,1,10.34
2025-01-01 06:00:00,47.34,113.22,0.1238,19.56,27.62,13,186,24,1.71,9.31
2025-01-01 06:05:00,58.9,123.88,0.1291,21.3,30.87,10,289,30,3.35,9.1
2025-01-01 06:10:00,60.01,127.88,0.0823,22.86,27.36,11,244,34,3.05,8.05
2025-01-01 06:15:00,62.17,102.98,0.1747,22.12,29.69,11,286,27,3.17,7.39
2025-01-01 06:20:00,65.97,118.54,0.1313,23.99,28.6,11,281,35,2.44,5.22
2025-01-01 06:25:00,83.02,151.88,0.2808,24.98,30.66,15,327,47,1,8.18
2025-01-01 06:30:00,67.55,131.98,0.1272,23.38,29.68,13,249,41,2.33,13.01
2025-01-01 06:35:00,88.83,137.46,0.2574,26.11,28.68,18,346,59,3.17,8.73
2025-01-01 06:40:00,74.56,141.57,0.1256,27.43,27.8,18,315,55,2.17,9.62
2025-01-01 06:45:00,87.91,134.63,0.1892,28.66,30.74,21,293,47,2.2,10.41
2025-01-01 06:50:00,91.71,98.58,0.1903,26.55,32.39,13,294,42,3.4,10.49
2025-01-01 06:55:00,100.92,123.42,0.0999,30.48,31.35,28,318,47,3.31,9.49
2025-01-01 07:00:00,90.2,109.56,0.4531,26.46,33.53,26,301,39,2.86,7.52
2025-01-01 07:05:00,100.11,142.07,0.0773,29.0,33.77,20,319,61,1.74,7.45
2025-01-01 07:10:00,93.14,126.3,0.0665,30.23,33.9,22,276,60,3.13,12.28
2025-01-01 07:15:00,91.19,108.75,0.225,27.91,31.29,23,343,42,2.51,8.87
2025-01-01 07:20:00,105.49,143.93,0.1776,28.82,31.52,18,483,61,2.92,10.19
2025-01-01 07:25:00,108.6,150.91,0.158,31.81,38.07,24,402,82,2.94,8.64
2025-01-01 07:30:00,118.86,135.72,0.077,31.55,35.22,27,444,63,2.73,10.2
2025-01-01 07:35:00,132.47,139.75,0.0999,32.83,34.9,32,519,69,2.75,12.14
2025-01-01 07:40:00,120.67,128.85,0.258,30.0,34.36,18,477,63,3.29,11.59
