timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-04 00:00:00,0,4.39,0.1689,2.07,32.7,2,0,178,2.64,0
2025-03-04 00:05:00,0,4.1,0.0507,2.36,39.79,2,50,178,2.67,0
2025-03-04 00:10:00,0,5.21,0.0863,2.04,35.93,1,1,178,3.75,0.78
2025-03-04 00:15:00,0,4.37,0.0605,2.24,34.89,1,1,180,3.3,0
2025-03-04 00:20:00,0,4.8,0.3166,1.75,33.18,2,39,182,3.04,0.59
2025-03-04 00:25:00,0,3.63,0.1323,2.12,32.87,1,24,179,2.63,0
2025-03-04 00:30:00,0,5.39,0.204,2.23,36.45,2,24,180,4.37,0.38
2025-03-04 00:35:00,0,5.2,0.0811,2.0,33.52,1,14,181,4.43,0
2025-03-04 00:40:00,0,5.99,0.2418,2.0,35.21,2,82,183,3.38,2.75
2025-03-04 00:45:00,0,7.25,0.1411,2.04,35.29,1,0,180,3.04,0
2025-03-04 00:50:00,0,5.93,0.1759,1.99,36.27,1,0,180,1.78,0
2025-03-04 00:55:00,0,4.38,0.1028,2.59,37.76,2,0,182,2.92,0.4
2025-03-04 01:00:00,0,5.78,0.1001,1.74,34.67,2,12,181,2.92,0
2025-03-04 01:05:00,0,5.37,0.1286,1.94,32.34,1,16,179,3.52,0
2025-03-04 01:10:00,0,4.22,0.0735,1.56,35.07,2,21,179,3.27,1.55
2025-03-04 01:15:00,0,5.32,0.1666,1.58,36.16,1,66,179,4.37,1.64
2025-03-04 01:20:00,0,5.08,0.1642,1.88,33.94,2,25,181,3.75,2.1
2025-03-04 01:25:00,0,4.88,0.0511,2.1,32.45,2,0,182,2.95,0.98
2025-03-04 01:30:00,0,4.02,0.2033,2.0,37.26,2,15,180,4.43,1.27
2025-03-04 01:35:00,0,7.25,0.0607,2.23,34.27,2,21,177,2.56,2.41
2025-03-04 01:40:00,0,6.51,0.1058,2.61,33.77,1,43,179,2.72,3.92
2025-03-04 01:45:00,0,5.67,0.2332,1.93,33.42,2,14,183,1.3,1.63
2025-03-04 01:50:00,0,4.63,0.0701,1.56,32.06,2,20,181,3.56,0
2025-03-04 01:55:00,0,4.94,0.191,2.05,34.08,2,0,178,2.84,0
2025-03-04 02:00:00,0,4.87,0.1954,2.23,35.95,1,47,181,3.03,0
2025-03-04 02:05:00,0,4.23,0.1121,1.96,32.34,1,44,179,3.16,0
2025-03-04 02:10:00,0,5.99,0.2006,1.73,38.47,2,39,180,3.17,0
2025-03-04 02:15:00,0,4.14,0.1416,1.76,33.34,2,0,177,3.23,2.58
2025-03-04 02:20:00,0,5.82,0.0939,1.82,35.48,2,0,182,3.12,0
2025-03-04 02:25:00,0,4.67,0.0847,2.07,37.01,2,29,180,4.24,0.61
2025-03-04 02:30:00,0,4.38,0.0843,2.01,31.08,2,18,177,2.58,3.63
2025-03-04 02:35:00,0,4.14,0.0505,1.81,33.51,1,14,180,1.03,0.37
