timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-05 00:00:00,0,4.83,0.2228,1.79,35.19,2,48,179,3.53,1.01
2025-03-05 00:05:00,0,4.22,0.1398,2.17,34.98,2,35,180,3.41,0
2025-03-05 00:10:00,0,5.24,0.1336,1.82,35.84,1,50,179,2.58,0.81
2025-03-05 00:15:00,0,4.23,0.1662,1.99,40.53,1,0,181,3.51,0
2025-03-05 00:20:00,0,4.87,0.1114,2.14,37.93,2,9,179,2.12,2.18
2025-03-05 00:25:00,0,4.4,0.1594,2.23,35.07,1,0,181,3.64,0
2025-03-05 00:30:00,0,5.26,0.1883,1.96,36.99,1,49,179,1.66,0.28
2025-03-05 00:35:00,0,4.28,0.0766,2.2,32.63,2,113,178,2.45,0
2025-03-05 00:40:00,0,4.37,0.2405,2.17,32.95,1,18,182,2.53,1.63
2025-03-05 00:45:00,0,4.1,0.0543,1.98,36.68,1,31,179,3.67,0
2025-03-05 00:50:00,0,4.65,0.2513,1.97,36.35,1,12,178,3.18,2.4
2025-03-05 00:55:00,0,5.32,0.2031,1.84,34.31,1,24,178,3.51,0
2025-03-05 01:00:00,0,5.54,0.1711,2.73,35.03,1,22,181,2.02,0
2025-03-05 01:05:00,0,4.35,0.1669,1.96,33.61,2,0,178,2.97,2.75
2025-03-05 01:10:00,0,5.0,0.1471,1.2,36.8,1,76,178,3.44,2.78
2025-03-05 01:15:00,0,5.53,0.1173,1.4,31.29,1,29,182,3.79,1.59
2025-03-05 01:20:00,0,5.08,0.0863,2.31,35.64,2,9,177,3.73,0
2025-03-05 01:25:00,0,5.96,0.1258,2.19,36.06,1,40,182,3.4,0
2025-03-05 01:30:00,0,2.17,0.0816,1.62,34.13,1,20,178,3.26,1.65
2025-03-05 01:35:00,0,5.66,0.1054,2.15,37.52,2,46,178,3.71,0
2025-03-05 01:40:00,0,4.18,0.0648,2.1,33.87,1,17,179,3.45,0.03
2025-03-05 01:45:00,0,6.11,0.1355,2.36,32.68,1,67,176,1.96,0.67
2025-03-05 01:50:00,0,4.74,0.0541,1.96,33.7,2,5,179,2.41,1.95
2025-03-05 01:55:00,0,5.35,0.0917,2.03,36.41,1,15,178,3.33,0
