timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-01-01 00:00:00,0,4.41,0.1237,2.12,32.08,1,39,178,3.11,3.17
2025-01-01 00:05:00,0,4.75,0.2711,2.11,36.44,1,24,181,1.98,0.17
2025-01-01 00:10:00,0,5.43,0.0873,1.39,36.0,1,48,176,3.22,0
2025-01-01 00:15:00,0,5.74,0.1687,2.1,37.04,1,15,180,2.47,0
2025-01-01 00:20:00,0,7.73,0.1417,1.82,34.1,2,17,179,2.73,0
2025-01-01 00:25:00,0,4.08,0.0906,2.23,33.4,1,16,180,1.73,1.39
2025-01-01 00:30:00,0,2.94,0.2925,2.36,34.65,1,0,180,2.8,0
2025-01-01 00:35:00,0,4.46,0.1999,1.67,37.83,2,29,183,2.31,0
2025-01-01 00:40:00,0,3.86,0.0692,2.33,32.57,2,58,180,1.91,0.72
2025-01-01 00:45:00,0,5.61,0.1198,1.68,33.57,1,18,182,3.47,0
2025-01-01 00:50:00,0,6.05,0.0828,2.53,36.78,2,32,178,3.01,0
2025-01-01 00:55:00,0,3.84,0.082,1.9,38.69,2,0,179,2.44,0
2025-01-01 01:00:00,0,1.48,0.1002,2.0,32.98,2,7,178,3.87,0
2025-01-01 01:05:00,0,5.57,0.1579,1.91,34.59,2,0,179,3.55,0
2025-01-01 01:10:00,0,4.08,0.1406,2.76,35.1,2,5,177,2.94,0
2025-01-01 01:15:00,0,6.04,0.1963,1.72,34.19,2,37,177,3.82,0
2025-01-01 01:20:00,0,4.49,0.2372,2.41,34.91,1,20,176,2.23,0
2025-01-01 01:25:00,0,3.43,0.0915,2.06,33.31,1,52,178,2.58,0.83
2025-01-01 01:30:00,0,6.58,0.0793,1.67,35.01,2,39,180,3.77,0
2025-01-01 01:35:00,0,3.68,0.119,1.92,38.75,1,46,180,2.78,2.49
2025-01-01 01:40:00,0,4.17,0.1116,2.33,34.55,2,0,181,3.3,0.5
2025-01-01 01:45:00,0,5.81,0.1591,2.07,36.17,1,9,177,3.35,0
2025-01-01 01:50:00,0,6.78,0.1824,1.94,35.58,1,36,181,1.46,0
2025-01-01 01:55:00,0,5.25,0.1068,2.13,31.23,3,0,181,5.15,0
2025-01-01 02:00:00,0,4.93,0.1632,2.21,36.62,1,84,177,2.41,0
2025-01-01 02:05:00,0,5.7,0.1349,2.36,35.76,2,22,178,3.27,2.74
2025-01-01 02:10:00,0,6.24,0.0806,2.02,35.76,1,0,180,1.81,0
2025-01-01 02:15:00,0,4.49,0.1113,2.26,33.21,2,60,178,3.32,1.03
2025-01-01 02:20:00,0,5.52,0.16,2.24,35.71,1,22,182,4.13,0.06
2025-01-01 02:25:00,0,2.95,0.1241,1.63,40.04,2,15,182,2.25,0.06
2025-01-01 02:30:00,0,6.53,0.0647,2.63,32.25,1,41,177,3.72,0.28
2025-01-01 02:35:00,0,5.51,0.1248,1.7,36.3,2,0,180,3.66,0.61
2025-01-01 02:40:00,0,4.16,0.2508,1.68,32.94,2,54,180,1.79,0
2025-01-01 02:45:00,0,4.57,0.0787,2.0,38.24,1,31,181,4.48,0
2025-01-01 02:50:00,0,7.13,0.2015,2.32,31.65,1,0,182,1.8,1.07
2025-01-01 02:55:00,0,5.17,0.2042,1.88,36.83,1,16,180,2.8,1.64
2025-01-01 03:00:00,0,5.42,0.2259,1.61,33.43,1,0,184,2.59,0.28
2025-01-01 03:05:00,0,5.83,0.0756,2.2,36.72,1,16,178,3.65,0
2025-01-01 03:10:00,0,4.32,0.1141,1.49,33.58,2,0,181,3.18,0
2025-01-01 03:15:00,0,6.41,0.106,2.05,34.45,2,35,179,3.56,1.78
2025-01-01 03:20:00,0,5.59,0.1166,1.75,36.21,1,29,179,3.26,0
2025-01-01 03:25:00,0,3.74,0.0906,1.95,36.11,1,0,178,2.55,3.23
2025-01-01 03:30:00,0,5.09,0.0685,1.89,35.49,1,51,181,2.66,1.19
2025-01-01 03:35:00,0,5.99,0.1368,1.14,33.78,2,29,179,1.71,0.74
2025-01-01 03:40:00,0,3.83,0.199,1.81,31.16,2,37,180,3.78,1.32
2025-01-01 03:45:00,0,5.2,0.0765,1.96,34.4,1,53,177,2.76,0.25
2025-01-01 03:50:00,0,4.98,0.2362,2.01,32.9,1,35,178,2.88,0
2025-01-01 03:55:00,0,4.91,0.2119,2.08,33.82,2,5,182,2.71,0.23
2025-01-01 04:00:00,0,4.46,0.132,1.79,32.47,2,0,180,2.85,0
2025-01-01 04:05:00,0,4.35,0.1381,1.88,36.26,2,30,176,3.81,1.44
2025-01-01 04:10:00,0,5.6,0.0724,2.12,33.2,1,26,178,4.17,0.64
2025-01-01 04:15:00,0,5.22,0.1133,2.11,30.39,1,16,179,1.55,0.42
2025-01-01 04:20:00,0,5.47,0.0964,1.23,34.97,2,0,177,1.17,1.04
2025-01-01 04:25:00,0,4.97,0.0563,2.62,36.38,1,0,182,4.13,0
2025-01-01 04:30:00,0,5.49,0.1941,2.19,33.69,1,60,179,2.69,0.59
2025-01-01 04:35:00,0,5.57,0.074,2.07,31.78,1,0,177,2.24,0
2025-01-01 04:40:00,0,4.29,0.2524,2.19,33.28,2,43,177,3.69,0.49
2025-01-01 04:45:00,0,4.89,0.187,1.83,31.94,2,22,182,3.22,0
2025-01-01 04:50:00,0,4.69,0.1003,1.7,33.21,2,52,178,4.17,0
2025-01-01 04:55:00,0,6.19,0.0904,1.93,36.96,2,16,178,2.66,0.2
2025-01-01 05:00:00,0,5.11,0.1932,1.77,34.4,2,43,179,2.26,0.84
2025-01-01 05:05:00,0.56,5.41,0.1592,92.21,34.16,25,0,181,3.58,1.83
2025-01-01 05:10:00,1.4,8.28,0.1908,91.97,36.36,24,29,178,3.79,2.43
2025-01-01 05:15:00,3.39,6.17,0.3532,89.65,31.72,23,40,177,4.16,2.48
2025-01-01 05:20:00,4.68,7.91,0.2656,90.36,39.72,23,0,186,2.8,0.97
2025-01-01 05:25:00,6.91,4.8,0.097,90.68,34.4,24,43,177,2.12,0.79
2025-01-01 05:30:00,10.37,8.74,0.1156,91.19,33.3,24,0,176,2.37,0.4
2025-01-01 05:35:00,10.35,5.97,0.2055,91.08,35.8,23,0,170,3.53,2.78
2025-01-01 05:40:00,15.06,10.7,0.106,93.56,34.04,23,18,172,3.86,0.3
