timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-04 00:00:00,798.72,73.55,0.5048,47.77,48.16,150,2792,499,2.95,29.74
2025-03-04 00:05:00,799.72,77.52,0.5615,51.27,50.79,155,2828,499,3.49,26.08
2025-03-04 00:10:00,802.43,94.99,1.2412,52.32,51.31,161,2898,510,5.37,27.84
2025-03-04 00:15:00,800.79,79.22,0.9428,51.73,50.83,153,2927,486,8.87,30.79
2025-03-04 00:20:00,799.06,79.2,0.9649,49.46,48.25,145,2774,485,5.82,28.36
2025-03-04 00:25:00,799.78,52.57,0.4274,51.17,48.81,144,2731,488,2.46,23.4
2025-03-04 00:30:00,801.04,72.49,0.9578,50.91,51.86,142,2868,483,3.43,28.65
2025-03-04 00:35:00,798.79,91.66,1.0476,52.11,48.82,152,2947,492,4.89,34.5
2025-03-04 00:40:00,800.63,77.37,1.0405,52.6,50.4,158,2843,509,3.27,23.28
2025-03-04 00:45:00,802.26,84.25,0.7873,49.69,49.43,152,2985,500,7.4,25.46
2025-03-04 00:50:00,803.55,71.03,0.6592,51.66,50.4,150,2938,497,4.35,31.82
2025-03-04 00:55:00,803.44,61.16,0.3538,54.91,50.78,144,2899,484,3.68,25.18
2025-03-04 01:00:00,804.3,70.93,0.6467,55.09,52.61,144,2931,480,4.06,26.91
2025-03-04 01:05:00,806.81,76.54,1.3942,51.83,53.15,152,2943,508,6.44,28.06
2025-03-04 01:10:00,808.76,86.41,1.0946,51.91,53.74,154,2922,513,7.32,27.14
2025-03-04 01:15:00,806.1,106.38,1.4741,51.4,54.74,149,2977,514,9.03,29.81
2025-03-04 01:20:00,806.89,65.08,0.7155,53.86,52.52,144,2785,485,4.47,29.28
2025-03-04 01:25:00,808.32,79.61,0.7451,53.81,52.02,148,2908,477,5.55,31.44
2025-03-04 01:30:00,810.42,81.2,0.9744,57.03,54.24,154,2918,509,6.41,28.35
2025-03-04 01:35:00,808.74,76.13,1.0662,49.64,53.02,161,2924,519,5.26,23.66
2025-03-04 01:40:00,807.52,66.3,0.6076,51.5,53.11,148,2925,507,3.85,26.05
2025-03-04 01:45:00,808.08,64.26,0.6304,52.47,51.55,150,2925,487,3.77,33.39
2025-03-04 01:50:00,808.32,70.45,0.3548,53.17,53.61,149,2855,494,4.21,28.18
2025-03-04 01:55:00,807.72,46.76,0.4605,51.18,52.02,141,2884,489,4.08,23.48
2025-03-04 02:00:00,808.13,64.05,0.4612,47.13,50.13,151,2836,476,3.16,22.64
2025-03-04 02:05:00,808.06,60.43,0.3833,53.97,53.01,148,2930,486,6.14,31.15
2025-03-04 02:10:00,808.76,57.65,0.8983,53.61,53.33,141,2795,489,3.03,28.23
2025-03-04 02:15:00,808.19,60.69,0.3466,51.96,51.37,143,2919,487,4.02,24.69
2025-03-04 02:20:00,807.77,52.7,0.3236,48.55,50.65,143,2846,486,3.95,27.23
2025-03-04 02:25:00,807.98,50.56,0.3059,46.0,49.16,149,2873,486,1,24.03
2025-03-04 02:30:00,806.95,74.7,0.5351,50.45,52.19,141,2888,479,5.59,27.41
2025-03-04 02:35:00,807.39,55.31,0.3759,51.73,50.07,144,2882,516,2.93,25.23
2025-03-04 02:40:00,808.94,89.67,0.8673,52.66,51.63,148,2899,502,7.17,28.46
2025-03-04 02:45:00,809.64,52.01,0.4288,51.99,52.19,147,2883,489,1,27.47
2025-03-04 02:50:00,813.11,103.79,1.8043,52.08,54.0,156,2983,517,6.06,29.19
2025-03-04 02:55:00,813.58,50.68,0.3908,51.34,54.68,147,2783,496,4.31,24.52
2025-03-04 03:00:00,814.91,80.33,0.9572,53.88,53.11,152,2872,510,4.95,28.12
2025-03-04 03:05:00,818.11,92.97,1.4535,56.22,55.71,152,3030,502,5.25,28.98
2025-03-04 03:10:00,818.78,56.36,0.5574,53.28,53.46,150,2833,493,6.39,30.63
2025-03-04 03:15:00,817.22,90.01,1.0532,53.98,52.99,160,2948,506,4.89,28.11
2025-03-04 03:20:00,817.0,44.47,0.5673,54.55,51.47,143,2942,492,2.63,31.37
2025-03-04 03:25:00,815.91,66.15,0.671,53.74,53.81,158,2907,505,2.65,25.26
2025-03-04 03:30:00,816.97,72.73,0.7368,55.5,52.84,151,2903,504,2.22,30.81
2025-03-04 03:35:00,818.13,61.86,0.717,54.96,54.97,156,2922,511,5.36,22.4
2025-03-04 03:40:00,814.63,130.15,1.5403,52.31,51.19,158,2988,530,9.34,29.13
2025-03-04 03:45:00,763.37,1005.39,20.7621,2.09,28.59,258,4780,862,77.26,99
2025-03-04 03:50:00,761.03,78.23,1.2798,8.67,26.29,144,2826,470,7.45,25.66
2025-03-04 03:55:00,759.83,75.31,0.7102,12.65,26.61,137,2739,454,6.01,22.52
2025-03-04 04:00:00,762.81,95.79,1.3698,22.87,31.5,133,2793,468,9.88,27.21
2025-03-04 04:05:00,761.02,75.98,0.84,21.76,29.82,133,2772,465,5.64,23.97
2025-03-04 04:10:00,756.42,96.13,2.3433,22.84,30.53,148,2781,492,9.15,31.97
2025-03-04 04:15:00,757.2,65.18,0.6908,28.95,31.21,142,2713,473,7.7,26.12
2025-03-04 04:20:00,754.66,97.9,1.3699,27.51,30.31,136,2742,459,7.5,30.86
2025-03-04 04:25:00,753.05,86.66,0.8043,33.77,29.92,141,2692,466,4.77,30.22
2025-03-04 04:30:00,752.06,66.47,0.6234,30.28,32.58,151,2584,467,4.39,22.52
2025-03-04 04:35:00,747.66,118.21,2.0709,26.65,30.33,134,2827,470,10.87,38.6
