timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-03 00:00:00,799.46,72.48,0.7952,51.04,49.29,139,2809,481,3.0,19.58
2025-03-03 00:05:00,800.52,68.69,0.708,48.61,51.32,145,2836,498,4.8,23.31
2025-03-03 00:10:00,799.91,58.76,0.4042,50.25,51.26,144,2857,481,6.81,21.63
2025-03-03 00:15:00,800.51,67.37,0.4974,47.33,50.53,140,2816,477,2.91,24.76
2025-03-03 00:20:00,800.86,64.1,0.2893,50.87,49.44,149,2961,485,2.84,26.76
2025-03-03 00:25:00,799.79,87.76,0.5339,47.0,49.46,146,2891,480,5.72,27.96
2025-03-03 00:30:00,800.0,66.98,0.531,50.71,49.28,144,2769,487,4.66,21.8
2025-03-03 00:35:00,798.51,80.03,0.7882,46.68,49.48,142,2856,473,5.04,29.23
2025-03-03 00:40:00,798.67,65.16,0.2028,51.23,48.3,144,2765,488,2.91,25.5
2025-03-03 00:45:00,798.37,59.86,0.3028,47.53,49.54,146,2820,487,3.12,22.47
2025-03-03 00:50:00,798.04,51.35,0.2561,50.59,48.82,140,2826,473,2.66,22.25
2025-03-03 00:55:00,800.0,72.0,1.4389,49.88,51.4,151,2950,487,4.43,25.38
2025-03-03 01:00:00,800.46,63.38,0.3507,49.92,49.78,141,2871,489,3.03,27.84
2025-03-03 01:05:00,800.47,67.45,0.1436,49.97,49.02,137,2906,466,5.1,27.56
2025-03-03 01:10:00,800.97,67.57,0.3662,55.48,49.82,137,2826,477,1.61,25.66
2025-03-03 01:15:00,801.17,52.38,0.2369,51.88,52.0,149,2754,479,2.1,27.27
2025-03-03 01:20:00,800.39,65.24,0.6817,51.74,50.17,150,2872,492,3.59,25.51
2025-03-03 01:25:00,800.45,56.24,0.549,51.23,50.71,152,2875,481,1.53,26.39
2025-03-03 01:30:00,798.58,80.33,0.9725,51.83,47.67,152,2844,493,5.9,29.41
2025-03-03 01:35:00,799.36,75.68,0.4869,49.8,50.32,146,2872,491,3.34,26.47
2025-03-03 01:40:00,798.05,70.53,0.6595,52.18,49.3,143,2800,481,4.4,25.96
2025-03-03 01:45:00,798.24,61.16,0.2275,49.76,50.65,144,2752,483,4.64,24.17
2025-03-03 01:50:00,798.5,70.95,0.3485,49.13,50.25,142,2773,475,4.57,28.27
2025-03-03 01:55:00,798.79,68.19,0.4127,48.09,48.99,148,2751,495,4.25,23.91
2025-03-03 02:00:00,800.28,79.47,0.9628,48.35,50.11,151,2958,483,6.89,24.54
2025-03-03 02:05:00,801.06,70.13,0.4143,54.24,48.84,145,2896,485,5.31,31.81
2025-03-03 02:10:00,800.74,50.55,0.354,49.76,49.72,152,2805,502,2.73,27.7
2025-03-03 02:15:00,801.11,58.46,0.3116,50.83,51.12,147,2897,478,1.07,25.39
2025-03-03 02:20:00,800.09,77.2,0.7602,48.51,49.55,153,2870,486,3.35,29.91
2025-03-03 02:25:00,800.28,48.98,0.3162,50.89,51.89,145,2768,481,2.85,26.96
2025-03-03 02:30:00,800.5,62.64,0.2173,52.1,48.69,142,2780,485,2.1,21.04
2025-03-03 02:35:00,800.58,54.86,0.1495,52.55,48.78,145,2853,491,1.25,21.9
2025-03-03 02:40:00,800.44,62.57,0.3568,47.78,48.94,146,2777,475,1.27,21.12
2025-03-03 02:45:00,799.93,73.94,0.3924,49.41,50.1,149,2903,498,7.16,26.5
2025-03-03 02:50:00,799.99,47.58,0.508,53.61,50.17,142,2816,484,1.63,24.99
2025-03-03 02:55:00,799.98,68.08,0.2592,50.49,48.41,151,2830,491,3.51,22.83
2025-03-03 03:00:00,800.12,59.37,0.3102,52.48,49.83,141,2734,480,3.04,20.66
