timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-03 00:00:00,253.45,87.46,1.6689,55.29,40.56,55,1050,186,6.67,21.84
2025-03-03 00:05:00,254.23,76.0,0.5841,50.41,37.14,45,887,154,2.82,18.21
2025-03-03 00:10:00,254.14,47.84,0.4948,54.1,37.31,47,857,150,1,11.63
2025-03-03 00:15:00,253.97,69.24,0.4001,52.15,40.13,50,825,169,6.36,14.34
2025-03-03 00:20:00,255.02,68.43,0.7704,55.46,39.01,50,863,152,5.98,14.34
2025-03-03 00:25:00,257.01,101.53,1.0097,58.54,37.6,47,911,173,7.41,24.88
2025-03-03 00:30:00,256.79,57.21,0.4766,54.95,39.1,51,879,165,3.95,15.83
2025-03-03 00:35:00,259.46,97.69,1.4055,54.2,37.22,51,1031,176,6.97,24.05
2025-03-03 00:40:00,262.75,90.85,1.4715,58.15,38.4,53,1082,180,7.05,23.08
2025-03-03 00:45:00,262.14,69.33,0.4486,52.86,38.13,47,963,151,3.48,18.93
2025-03-03 00:50:00,261.78,69.06,0.6041,53.53,39.17,44,929,145,3.43,20.91
2025-03-03 00:55:00,261.62,58.61,0.2211,51.25,40.15,35,955,149,4.91,14.91
2025-03-03 01:00:00,262.32,64.17,0.4042,52.31,39.42,44,910,150,3.42,18.67
2025-03-03 01:05:00,264.38,79.78,0.9687,56.43,38.59,53,1016,174,2.97,24.35
2025-03-03 01:10:00,267.31,90.49,1.7728,57.76,37.82,56,1045,181,7.21,16.33
2025-03-03 01:15:00,266.99,64.27,0.2726,52.14,39.3,41,869,146,3.98,14.4
2025-03-03 01:20:00,269.71,92.34,1.2941,55.41,39.38,50,1031,173,7.77,17.55
2025-03-03 01:25:00,270.05,78.58,0.2737,55.39,38.57,48,903,168,3.68,11.58
2025-03-03 01:30:00,270.39,63.74,0.3072,57.84,40.81,47,936,152,3.37,15.51
2025-03-03 01:35:00,272.88,86.21,1.1606,54.53,39.88,60,1090,198,6.73,24.64
