timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-01-01 00:00:00,250.09,53.05,0.2261,51.22,49.08,49,907,143,1.63,16.8
2025-01-01 00:05:00,251.68,90.96,0.8803,52.42,52.52,51,972,165,5.44,22.14
2025-01-01 00:10:00,252.92,67.38,0.7746,56.15,54.4,47,984,153,5.54,17.93
2025-01-01 00:15:00,253.54,67.2,0.5039,54.13,56.05,48,915,154,5.76,18.26
2025-01-01 00:20:00,253.91,56.41,0.4143,53.59,57.0,53,952,153,4.13,13.61
2025-01-01 00:25:00,254.92,61.89,0.5093,53.52,55.41,49,948,174,5.54,13.81
2025-01-01 00:30:00,254.94,57.35,0.214,52.7,55.7,47,842,147,4.94,16.59
2025-01-01 00:35:00,255.85,64.16,0.4906,49.77,59.37,53,982,161,3.87,18.53
2025-01-01 00:40:00,256.21,54.01,0.3583,52.08,56.92,58,1004,180,4.61,15.78
2025-01-01 00:45:00,255.67,62.52,0.3403,52.69,55.17,40,912,154,7.84,19.9
2025-01-01 00:50:00,256.69,59.63,0.7984,52.73,57.1,52,987,169,3.99,16.57
2025-01-01 00:55:00,255.96,58.58,0.7338,50.91,56.6,44,921,155,4.9,14.55
2025-01-01 01:00:00,256.07,63.66,0.3305,52.08,56.68,50,841,159,2.97,7.98
2025-01-01 01:05:00,257.01,60.96,0.5175,48.96,58.05,52,946,164,2.71,18.87
2025-01-01 01:10:00,257.3,54.05,0.2743,52.15,56.08,50,868,166,4.27,12.77
2025-01-01 01:15:00,258.35,59.04,0.7267,55.22,58.55,56,1010,173,4.18,17.38
2025-01-01 01:20:00,258.97,58.82,0.3958,53.66,57.79,45,946,163,3.64,14.32
2025-01-01 01:25:00,258.03,65.0,0.4943,51.43,57.98,54,899,171,4.39,13.95
2025-01-01 01:30:00,258.15,71.3,0.2811,50.8,57.6,53,963,173,3.84,22.9
2025-01-01 01:35:00,258.78,71.04,0.5283,49.7,57.25,53,947,177,2.61,15.57
2025-01-01 01:40:00,260.47,76.6,0.865,53.51,59.09,49,904,171,6.41,25.02
2025-01-01 01:45:00,261.33,53.29,0.6981,55.15,59.93,46,1022,156,2.88,19.3
2025-01-01 01:50:00,261.47,39.67,0.4029,51.49,60.49,45,926,170,2.72,16.16
2025-01-01 01:55:00,260.97,65.99,0.4279,47.33,58.49,45,924,160,3.39,14.72
2025-01-01 02:00:00,262.24,68.71,0.6167,52.42,61.08,51,945,163,4.08,22.6
2025-01-01 02:05:00,260.91,83.05,0.8486,53.4,59.08,53,893,180,6.7,16.39
2025-01-01 02:10:00,260.67,59.58,0.5052,49.66,56.59,38,944,144,3.35,11.99
2025-01-01 02:15:00,260.71,52.0,0.1838,54.84,56.84,46,907,163,4.25,17.97
2025-01-01 02:20:00,260.48,54.47,0.6363,50.52,56.39,45,925,156,2.29,16.03
2025-01-01 02:25:00,259.28,63.76,0.9796,48.2,53.63,49,923,154,3.12,15.92
2025-01-01 02:30:00,259.03,45.83,0.395,50.04,51.5,48,900,144,3.25,12.83
2025-01-01 02:35:00,258.82,59.42,0.1899,53.56,54.45,53,879,161,2.89,18.1
2025-01-01 02:40:00,258.86,65.04,0.1387,46.98,52.28,39,896,135,4.13,22.33
2025-01-01 02:45:00,258.78,59.65,0.168,50.53,52.58,46,898,165,4.53,16.08
2025-01-01 02:50:00,258.74,59.73,0.4681,46.74,52.56,46,942,148,1.19,15.24
2025-01-01 02:55:00,258.83,64.75,0.3215,52.08,51.6,53,899,182,3.11,15.3
2025-01-01 03:00:00,259.1,68.01,0.628,50.35,53.35,44,980,172,1,14.49
2025-01-01 03:05:00,258.85,54.42,0.3205,51.84,51.3,43,856,155,3.4,18.06
2025-01-01 03:10:00,259.21,67.71,0.2488,54.25,54.27,52,946,170,1.51,18.38
2025-01-01 03:15:00,259.09,62.69,0.3237,52.23,52.52,60,796,173,2.15,18.19
2025-01-01 03:20:00,258.85,49.67,0.269,49.55,51.7,49,884,163,2.29,12.77
2025-01-01 03:25:00,258.79,56.49,0.1527,49.5,51.7,43,844,168,1.47,16.23
2025-01-01 03:30:00,258.99,51.86,0.423,49.0,53.74,47,875,157,5.5,14.57
2025-01-01 03:35:00,259.54,59.53,0.514,50.93,51.28,53,907,153,3.25,14.54
2025-01-01 03:40:00,259.5,46.24,0.3232,51.08,53.7,46,975,148,1.06,9.67
2025-01-01 03:45:00,259.14,53.35,0.4113,51.62,51.8,49,988,162,1.52,12.82
2025-01-01 03:50:00,258.54,69.0,0.4506,49.71,50.93,43,979,158,3.01,11.78
2025-01-01 03:55:00,258.22,62.57,0.2635,52.7,50.04,46,889,147,4.38,19.36
2025-01-01 04:00:00,258.6,56.04,0.4615,50.26,51.01,53,904,159,4.03,15.84
2025-01-01 04:05:00,258.35,60.67,0.439,49.41,49.02,31,899,123,3.3,15.72
2025-01-01 04:10:00,258.61,63.71,0.4157,49.23,51.01,38,864,149,3.66,10.91
2025-01-01 04:15:00,259.18,58.61,0.4238,48.0,50.38,40,968,161,4.49,18.89
2025-01-01 04:20:00,259.26,50.97,0.4144,46.95,50.84,50,902,159,3.59,15.17
2025-01-01 04:25:00,258.99,80.91,0.623,49.72,52.89,48,996,143,4.76,13.68
2025-01-01 04:30:00,258.93,60.21,0.261,50.76,49.63,50,885,158,4.4,15.39
2025-01-01 04:35:00,258.59,58.88,0.4801,52.8,50.56,53,871,169,1,11.02
2025-01-01 04:40:00,258.3,38.25,0.408,48.65,47.95,45,912,145,2.74,14.21
2025-01-01 04:45:00,258.86,59.97,0.4932,52.14,52.68,51,923,159,3.14,12.42
2025-01-01 04:50:00,258.97,62.2,0.2118,48.65,50.31,53,846,172,3.46,20.25
2025-01-01 04:55:00,258.96,52.27,0.5036,51.78,50.59,56,986,168,3.82,15.64
2025-01-01 05:00:00,259.22,68.56,0.3969,48.28,49.7,48,919,152,2.45,17.45
2025-01-01 05:05:00,259.63,46.81,0.3691,44.48,52.33,44,860,157,2.61,18.19
2025-01-01 05:10:00,259.72,64.74,0.164,49.53,53.37,44,1008,156,2.65,9.76
2025-01-01 05:15:00,259.64,54.61,0.4009,50.21,51.14,40,880,141,1.19,11.71
2025-01-01 05:20:00,259.82,60.65,0.4589,51.9,51.6,48,896,166,4.06,10.24
2025-01-01 05:25:00,259.78,66.55,0.4568,48.59,52.14,42,894,167,6.23,11.35
2025-01-01 05:30:00,259.44,55.54,0.3499,50.2,50.88,46,920,155,2.6,9.27
2025-01-01 05:35:00,259.6,57.58,0.327,52.4,52.36,37,889,144,1.35,9.75
