timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-05 00:00:00,799.86,81.61,0.82,49.45,49.19,149,2814,475,6.49,23.1
2025-03-05 00:05:00,799.25,46.79,0.3963,45.72,50.21,149,2884,506,5.98,23.08
2025-03-05 00:10:00,800.13,66.88,0.5513,49.79,47.98,147,2845,491,1.76,25.14
2025-03-05 00:15:00,800.31,57.73,0.189,47.49,48.96,149,2781,480,6.28,22.36
2025-03-05 00:20:00,800.46,52.89,0.254,50.89,51.87,143,2782,480,3.79,26.36
2025-03-05 00:25:00,800.73,57.77,0.4921,49.09,49.97,146,2803,490,3.46,28.37
2025-03-05 00:30:00,800.26,55.06,0.3036,50.81,49.49,146,2806,490,2.68,24.06
2025-03-05 00:35:00,799.95,47.19,0.2702,47.75,52.14,145,2694,489,5.41,18.78
2025-03-05 00:40:00,801.59,91.64,0.8664,49.6,50.3,153,2847,493,5.81,27.08
2025-03-05 00:45:00,800.85,58.9,0.4484,52.61,48.83,145,2957,488,4.12,28.37
2025-03-05 00:50:00,801.34,44.24,0.3508,52.15,50.43,144,2831,487,3.49,26.71
2025-03-05 00:55:00,801.54,50.18,0.3744,48.95,49.49,139,2867,481,4.73,26.99
2025-03-05 01:00:00,801.68,47.35,0.1919,49.21,50.22,143,2831,475,4.07,25.52
2025-03-05 01:05:00,802.62,68.88,0.7717,48.63,50.55,140,2852,483,4.61,24.29
2025-03-05 01:10:00,802.37,57.23,0.4029,55.85,49.42,144,2838,485,2.65,23.98
2025-03-05 01:15:00,802.05,43.78,0.4601,49.21,51.08,149,2904,482,2.46,26.8
2025-03-05 01:20:00,802.48,59.21,0.3845,49.38,49.81,147,2813,496,4.9,21.92
2025-03-05 01:25:00,803.47,78.66,0.6736,50.43,50.02,142,2885,480,9.18,28.16
2025-03-05 01:30:00,804.3,60.96,0.4946,50.37,51.86,145,2902,480,3.68,25.31
2025-03-05 01:35:00,804.93,63.45,0.4262,50.59,52.37,153,2846,502,2.91,26.24
2025-03-05 01:40:00,804.68,53.48,0.2269,52.23,51.65,141,2898,482,4.43,27.7
2025-03-05 01:45:00,804.4,51.5,0.3166,52.34,51.95,145,2856,487,1,27.44
2025-03-05 01:50:00,805.14,73.96,0.5238,52.74,50.47,146,2883,488,4.61,20.62
2025-03-05 01:55:00,805.99,47.08,0.6442,52.42,52.74,151,2801,490,2.14,26.63
2025-03-05 02:00:00,806.74,69.12,0.5279,51.91,51.66,144,2862,493,4.11,30.93
2025-03-05 02:05:00,806.85,46.25,0.4887,50.68,51.8,151,2806,487,1,24.22
2025-03-05 02:10:00,807.61,64.42,0.4773,53.14,53.13,149,2852,472,5.14,25.36
2025-03-05 02:15:00,808.48,67.71,0.7002,53.79,51.56,145,2922,483,6.03,29.4
2025-03-05 02:20:00,808.09,45.29,0.3142,53.54,52.43,140,2842,469,1.48,27.17
2025-03-05 02:25:00,808.33,46.32,0.2879,52.07,51.68,148,2875,502,2.79,27.98
2025-03-05 02:30:00,808.37,52.4,0.3815,52.18,52.9,148,2777,490,2.65,23.62
2025-03-05 02:35:00,807.65,70.63,0.5321,49.22,52.28,138,2811,480,4.98,20.01
2025-03-05 02:40:00,807.42,57.79,0.3508,50.53,54.35,143,2867,476,3.53,22.96
2025-03-05 02:45:00,807.8,66.94,0.3165,55.26,51.21,145,2862,490,2.97,27.64
2025-03-05 02:50:00,807.98,47.83,0.5524,46.77,52.68,144,2779,497,2.89,25.29
2025-03-05 02:55:00,807.87,52.5,0.3423,51.79,51.19,152,2806,500,5.19,27.72
2025-03-05 03:00:00,807.57,72.84,0.5189,50.39,51.25,144,2846,489,4.48,20.99
2025-03-05 03:05:00,807.95,46.21,0.3475,51.88,53.1,141,2890,488,2.11,18.28
2025-03-05 03:10:00,808.09,54.58,0.2952,52.16,52.81,143,2860,478,4.64,22.36
2025-03-05 03:15:00,808.38,38.53,0.5403,48.21,53.84,153,2892,481,4.14,24.13
2025-03-05 03:20:00,808.23,40.9,0.313,49.79,50.16,142,2876,479,1.87,26.13
2025-03-05 03:25:00,808.54,66.12,0.3296,49.84,51.99,152,2855,496,3.2,24.45
2025-03-05 03:30:00,808.68,50.12,0.3586,53.26,49.7,143,2787,480,1.95,24.05
2025-03-05 03:35:00,809.14,63.06,0.4311,49.26,51.42,154,2764,487,5.03,30.78
2025-03-05 03:40:00,808.5,62.82,0.5558,50.9,52.08,146,2900,492,4.02,29.12
2025-03-05 03:45:00,808.55,62.36,0.3846,50.88,51.45,150,2761,492,1.25,24.87
2025-03-05 03:50:00,808.64,57.01,0.4128,49.24,50.63,146,2770,486,4.09,24.12
2025-03-05 03:55:00,807.83,67.13,0.8451,49.49,50.12,148,2767,485,5.66,30.31
2025-03-05 04:00:00,807.82,44.8,0.209,51.34,52.39,145,2862,494,3.77,29.55
2025-03-05 04:05:00,808.3,63.76,0.3563,54.5,50.68,152,2943,482,4.65,27.64
2025-03-05 04:10:00,808.83,59.33,0.5229,54.28,49.93,144,2933,481,4.33,28.37
2025-03-05 04:15:00,808.68,48.92,0.3167,50.86,51.31,151,2794,485,2.13,19.8
2025-03-05 04:20:00,808.82,64.53,0.2346,51.44,52.15,147,2836,477,4.26,30.94
2025-03-05 04:25:00,808.68,73.79,0.4489,50.32,50.77,140,2788,477,2.32,24.4
2025-03-05 04:30:00,808.79,65.79,0.6462,52.34,50.32,148,2801,481,2.71,24.09
2025-03-05 04:35:00,808.73,68.09,0.3603,49.86,50.31,155,2853,499,3.7,26.54
2025-03-05 04:40:00,808.86,58.47,0.2804,49.71,50.47,139,2838,483,2.64,26.8
