timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-03 00:00:00,12.33,171.51,0.1011,16.05,25.65,4,31,16,2.86,3.34
2025-03-03 00:05:00,15.95,89.27,0.2061,15.78,26.92,4,110,5,1.76,7.81
2025-03-03 00:10:00,25.3,74.38,0.0784,16.87,24.92,7,138,5,1.31,10.59
2025-03-03 00:15:00,22.96,134.78,0.1343,18.76,25.51,8,129,15,1,3.9
2025-03-03 00:20:00,12.97,110.45,0.1298,15.71,25.36,4,64,8,1.27,4.84
2025-03-03 00:25:00,11.49,99.99,0.3497,17.01,25.25,4,9,5,2.55,11.01
2025-03-03 00:30:00,21.66,160.66,0.1212,17.13,26.58,4,80,26,1,6.15
2025-03-03 00:35:00,16.12,144.93,0.2022,18.08,27.67,4,24,13,1.89,7.63
2025-03-03 00:40:00,14.59,134.11,0.1715,16.35,28.53,6,65,14,3.34,7.68
2025-03-03 00:45:00,11.18,168.36,0.1607,17.99,27.74,4,0,13,3.9,8.88
2025-03-03 00:50:00,26.75,142.45,0.2226,19.76,27.0,4,101,20,2.4,7.47
2025-03-03 00:55:00,10.46,156.05,0.0827,13.36,25.47,4,72,12,1.16,7.56
2025-03-03 01:00:00,17.41,173.22,0.1231,20.5,30.19,4,20,21,3.7,7.38
2025-03-03 01:05:00,16.6,80.11,0.1829,14.08,25.5,4,0,5,3.13,6.59
2025-03-03 01:10:00,22.82,105.95,0.0719,19.61,29.88,7,133,5,2.92,5.82
2025-03-03 01:15:00,9.83,104.97,0.1014,14.03,23.9,4,94,5,1.79,7.81
2025-03-03 01:20:00,21.48,185.21,0.0713,16.16,25.84,7,90,28,1.61,5.74
2025-03-03 01:25:00,23.64,141.72,0.1666,18.36,27.95,4,86,19,1.44,6.38
2025-03-03 01:30:00,15.21,144.35,0.1277,17.29,27.44,4,62,14,1,8.69
2025-03-03 01:35:00,19.16,183.3,0.2653,16.6,26.78,6,72,24,2.1,8.43
2025-03-03 01:40:00,12.54,108.72,0.158,20.34,25.83,11,0,5,1.7,9.23
2025-03-03 01:45:00,22.72,112.52,0.0972,18.92,25.72,4,36,13,2.84,8.99
2025-03-03 01:50:00,20.17,138.72,0.1017,16.19,27.34,4,86,20,1,8.64
2025-03-03 01:55:00,16.84,122.69,0.1637,19.58,25.16,4,13,10,1,10.87
2025-03-03 02:00:00,25.75,139.41,0.154,19.73,28.87,4,132,21,1.46,7.65
2025-03-03 02:05:00,25.29,161.42,0.1718,21.63,28.34,4,158,28,2.54,6.44
2025-03-03 02:10:00,22.46,90.8,0.0623,16.12,26.18,4,76,5,1,9.34
2025-03-03 02:15:00,20.63,104.81,0.175,17.82,25.9,4,95,9,2.06,7.67
2025-03-03 02:20:00,14.74,175.54,0.1405,20.5,26.28,4,53,17,2.42,6.8
2025-03-03 02:25:00,14.5,138.27,0.0755,15.94,27.83,4,0,14,3.6,6.65
2025-03-03 02:30:00,16.61,163.33,0.5399,16.91,24.61,4,79,14,1,8.6
2025-03-03 02:35:00,43.49,123.56,0.0725,21.96,28.1,10,122,26,1.77,10.01
2025-03-03 02:40:00,18.2,190.4,0.0951,16.44,29.37,4,81,24,3.29,9.17
2025-03-03 02:45:00,11.7,111.09,0.2186,20.21,25.07,5,94,5,3.67,6.57
2025-03-03 02:50:00,13.42,110.23,0.2154,18.79,25.48,4,51,5,1,9.11
2025-03-03 02:55:00,20.0,155.88,0.2285,19.42,30.29,9,104,18,2.47,11.33
2025-03-03 03:00:00,20.89,144.04,0.0549,20.71,26.96,4,85,22,1.85,9.65
2025-03-03 03:05:00,28.32,140.41,0.1046,21.82,28.24,12,51,24,1.72,10.52
2025-03-03 03:10:00,23.06,89.52,0.1141,21.03,24.41,6,88,8,3.14,10.47
2025-03-03 03:15:00,25.58,82.94,0.1392,17.83,26.76,5,63,7,2.24,8.01
2025-03-03 03:20:00,38.75,103.31,0.1488,17.36,31.12,4,145,19,2.76,7.63
2025-03-03 03:25:00,21.08,107.49,0.0635,14.45,27.12,5,75,15,2.55,7.02
2025-03-03 03:30:00,23.34,121.14,0.0949,18.69,30.33,13,136,12,2.27,8.05
2025-03-03 03:35:00,27.96,119.27,0.0933,19.92,29.73,4,119,17,1.42,4.01
2025-03-03 03:40:00,28.76,110.71,0.3407,20.49,28.13,8,73,16,2.25,8.33
2025-03-03 03:45:00,20.34,116.45,0.1729,16.19,25.96,4,55,11,1.89,5.26
2025-03-03 03:50:00,14.49,86.08,0.3335,16.47,25.36,4,28,5,2.35,3.49
2025-03-03 03:55:00,6.12,114.64,0.0751,13.59,26.69,4,0,5,3.31,6.03
2025-03-03 04:00:00,12.43,110.68,0.1302,17.28,26.91,4,34,8,2.33,8.64
2025-03-03 04:05:00,19.82,103.02,0.1033,17.09,26.07,4,94,5,1.75,10.22
2025-03-03 04:10:00,21.6,122.96,0.1302,15.19,22.73,5,52,13,1.59,5.16
2025-03-03 04:15:00,26.32,126.48,0.075,19.39,26.92,4,143,15,1,11.01
2025-03-03 04:20:00,13.46,103.5,0.2249,15.28,25.19,9,40,9,1.34,4.78
2025-03-03 04:25:00,14.71,85.3,0.3515,21.41,23.09,6,107,5,1.25,8.33
2025-03-03 04:30:00,15.03,134.15,0.0551,15.41,26.95,4,95,13,1.25,5.45
2025-03-03 04:35:00,20.57,143.25,0.1614,18.73,26.18,9,93,15,4.12,7.22
2025-03-03 04:40:00,20.34,85.93,0.2007,18.61,26.09,4,40,5,1.14,7.34
2025-03-03 04:45:00,17.77,85.55,0.1991,15.84,22.95,4,116,5,3.79,8.12
2025-03-03 04:50:00,21.3,90.83,0.1836,18.28,25.47,4,104,5,3.7,6.42
2025-03-03 04:55:00,21.41,169.8,0.186,19.45,28.84,6,63,27,2.37,11.07
2025-03-03 05:00:00,26.34,75.92,0.1572,15.9,24.72,7,137,7,3.46,6.02
2025-03-03 05:05:00,23.99,138.99,0.2468,19.07,24.71,10,44,16,1,8.11
2025-03-03 05:10:00,43.93,98.72,0.3413,22.51,28.86,9,193,18,2.14,10.92
2025-03-03 05:15:00,34.93,77.62,0.1099,21.68,28.45,11,148,5,3.5,3.72
2025-03-03 05:20:00,40.58,130.0,0.2774,19.04,25.8,4,190,28,2.35,7.45
2025-03-03 05:25:00,42.63,110.82,0.165,19.1,29.59,4,189,27,1.95,7.09
2025-03-03 05:30:00,39.47,113.01,0.2507,22.45,24.62,9,98,21,2.38,10.25
2025-03-03 05:35:00,43.82,92.63,0.1955,18.15,28.9,8,135,23,2.21,6.84
2025-03-03 05:40:00,47.71,143.65,0.093,22.91,30.0,8,159,30,3.51,9.71
2025-03-03 05:45:00,59.4,159.93,0.219,21.52,30.87,10,198,50,4.32,8.53
2025-03-03 05:50:00,66.68,112.24,0.294,21.99,29.73,14,268,33,1.21,6.92
2025-03-03 05:55:00,56.68,149.23,0.0922,25.91,30.14,18,270,46,2.72,9.65
2025-03-03 06:00:00,75.43,123.46,0.2094,22.83,30.59,9,279,36,1,7.18
2025-03-03 06:05:00,69.96,118.8,0.3627,24.89,29.0,8,307,38,3.4,12.32
2025-03-03 06:10:00,59.25,107.54,0.15,19.54,28.22,13,226,32,1,7.06
2025-03-03 06:15:00,88.72,125.46,0.2249,27.38,33.41,19,336,43,2.98,12.64
2025-03-03 06:20:00,78.83,153.73,0.1014,26.4,31.39,13,277,59,1.4,10.21
2025-03-03 06:25:00,87.16,144.65,0.2156,30.2,29.91,20,417,58,2.73,8.49
2025-03-03 06:30:00,94.9,120.41,0.0558,29.82,31.51,19,391,58,1.92,10.6
2025-03-03 06:35:00,107.01,132.76,0.064,28.12,34.82,18,360,53,3.74,9.18
2025-03-03 06:40:00,91.18,123.94,0.11,29.93,37.16,22,363,47,1.65,10.92
2025-03-03 06:45:00,101.81,126.22,0.3058,28.39,33.06,13,356,56,1,6.92
2025-03-03 06:50:00,102.44,136.79,0.0511,27.42,32.99,17,388,58,3.52,11.77
2025-03-03 06:55:00,114.05,128.63,0.2773,32.96,35.63,26,405,58,2.91,12.99
2025-03-03 07:00:00,102.38,131.56,0.2712,29.03,30.9,17,405,59,3.19,12.69
2025-03-03 07:05:00,127.32,131.91,0.0587,34.65,35.49,26,436,82,2.29,11.85
2025-03-03 07:10:00,129.39,120.19,0.0516,32.38,32.24,28,489,59,2.8,15.0
2025-03-03 07:15:00,130.68,157.81,0.1279,31.13,39.13,21,428,93,2.95,15.28
2025-03-03 07:20:00,148.17,133.15,0.1164,33.73,35.68,34,572,62,1,12.03
2025-03-03 07:25:00,155.14,124.63,0.0906,35.56,39.44,30,585,93,2.5,6.88
2025-03-03 07:30:00,160.43,149.79,0.1502,35.7,40.65,33,596,102,2.4,12.54
2025-03-03 07:35:00,164.91,122.48,0.1367,36.05,35.35,26,596,82,1.74,16.18
2025-03-03 07:40:00,162.35,129.19,0.1677,35.81,37.89,33,525,96,2.45,11.46
2025-03-03 07:45:00,175.44,158.78,0.1074,39.15,38.8,36,661,112,4.16,13.87
2025-03-03 07:50:00,173.88,159.3,0.0541,34.88,39.13,32,665,104,1.43,17.58
2025-03-03 07:55:00,194.11,147.25,0.164,40.4,40.44,39,751,104,2.96,13.96
2025-03-03 08:00:00,189.43,148.63,0.1415,38.78,39.96,38,693,107,2.06,14.35
2025-03-03 08:05:00,203.35,146.49,0.0748,42.13,41.26,36,817,109,2.7,14.59
2025-03-03 08:10:00,210.4,142.93,0.0924,40.11,44.37,42,790,116,1,17.09
2025-03-03 08:15:00,204.35,148.7,0.1561,46.11,41.66,41,801,116,4.09,14.69
2025-03-03 08:20:00,216.17,157.73,0.1475,45.94,42.45,50,811,120,2.73,17.52
2025-03-03 08:25:00,210.11,171.99,0.0939,44.04,45.15,31,815,131,3.87,14.8
2025-03-03 08:30:00,222.24,130.08,0.2077,41.13,44.61,39,822,128,2.33,18.08
2025-03-03 08:35:00,218.93,165.32,0.1016,45.84,43.56,44,827,124,4.04,16.76
2025-03-03 08:40:00,238.59,155.86,0.2938,46.12,44.64,46,978,140,3.28,12.62
2025-03-03 08:45:00,241.49,148.27,0.0728,42.85,49.05,41,892,150,2.69,17.12
2025-03-03 08:50:00,244.72,156.34,0.1453,48.5,43.36,52,936,124,4.39,14.42
2025-03-03 08:55:00,252.76,151.54,0.1983,51.56,44.88,51,944,129,3.3,17.65
2025-03-03 09:00:00,242.76,159.71,0.2492,49.61,44.65,56,966,134,3.48,14.91
2025-03-03 09:05:00,265.33,167.2,0.1449,48.8,44.01,55,968,149,3.08,15.08
2025-03-03 09:10:00,275.76,165.79,0.3222,50.98,47.75,53,1084,147,4.95,14.28
2025-03-03 09:15:00,292.01,170.54,0.069,51.74,45.95,59,1096,161,3.04,21.15
2025-03-03 09:20:00,266.33,169.5,0.1414,48.67,45.33,47,1004,136,2.62,17.4
2025-03-03 09:25:00,278.8,172.2,0.1499,56.62,47.01,64,1105,148,2.83,16.3
2025-03-03 09:30:00,282.72,171.44,0.3027,57.38,46.39,63,1055,155,2.32,18.09
2025-03-03 09:35:00,301.45,173.1,0.3447,54.97,48.69,63,1132,181,3.07,17.71
2025-03-03 09:40:00,298.65,165.88,0.2251,53.7,44.15,61,1159,161,3.73,14.97
2025-03-03 09:45:00,310.4,184.13,0.2089,59.29,51.32,61,1164,174,4.37,22.1
2025-03-03 09:50:00,318.23,172.73,0.1331,56.58,50.46,62,1208,174,4.65,15.67
2025-03-03 09:55:00,304.54,175.85,0.0869,52.37,47.36,57,1151,164,4.33,18.78
2025-03-03 10:00:00,327.11,170.86,0.1005,58.64,48.09,66,1249,162,3.24,20.55
2025-03-03 10:05:00,312.46,154.14,0.22,54.15,49.19,64,1181,162,3.43,18.85
2025-03-03 10:10:00,320.05,170.46,0.2368,54.74,50.6,65,1192,170,2.92,18.38
2025-03-03 10:15:00,324.66,174.87,0.097,54.46,50.2,66,1212,187,3.47,17.05
2025-03-03 10:20:00,312.92,165.13,0.0533,56.3,50.83,73,1139,172,3.54,18.82
2025-03-03 10:25:00,310.3,185.25,0.0768,56.23,52.32,58,1196,179,3.22,17.39
2025-03-03 10:30:00,299.64,181.94,0.2038,55.05,47.54,65,1122,173,4.07,20.55
2025-03-03 10:35:00,296.89,174.65,0.1327,53.51,49.57,62,1110,152,3.73,19.45
2025-03-03 10:40:00,310.14,186.91,0.1733,61.94,47.81,65,1142,163,3.55,21.01
2025-03-03 10:45:00,298.27,142.52,0.1616,50.87,46.85,67,1108,152,4.14,18.18
2025-03-03 10:50:00,296.53,161.46,0.1536,55.53,47.57,67,1139,161,3.22,17.51
2025-03-03 10:55:00,303.65,156.05,0.0901,57.05,48.37,65,1100,152,3.35,19.03
2025-03-03 11:00:00,297.38,162.05,0.28,51.21,47.82,55,1109,156,5.32,17.46
2025-03-03 11:05:00,286.68,123.1,0.0801,54.03,46.68,58,1110,145,4.05,17.55
2025-03-03 11:10:00,309.7,172.17,0.4333,56.87,47.93,67,1115,178,3.07,17.56
2025-03-03 11:15:00,303.45,162.61,0.0965,56.23,47.74,65,1178,173,5.41,14.93
2025-03-03 11:20:00,287.88,179.07,0.0743,53.02,45.93,52,1185,143,4.49,15.7
2025-03-03 11:25:00,298.96,158.24,0.2192,56.6,49.4,60,1085,162,3.64,17.28
2025-03-03 11:30:00,284.45,170.63,0.1329,50.73,48.73,55,1107,161,2.85,17.86
2025-03-03 11:35:00,280.09,173.59,0.1717,54.95,49.28,62,1108,151,3.33,14.87
2025-03-03 11:40:00,286.86,163.27,0.4263,52.96,46.02,60,1041,160,3.38,19.97
2025-03-03 11:45:00,266.84,158.84,0.1218,50.27,47.68,56,955,148,2.91,15.45
2025-03-03 11:50:00,279.94,167.58,0.2478,53.23,46.82,56,1026,153,2.3,16.81
2025-03-03 11:55:00,276.01,166.16,0.0588,49.29,46.63,48,1090,140,3.76,15.69
2025-03-03 12:00:00,259.85,173.8,0.3655,52.0,45.53,58,971,146,1.73,16.78
2025-03-03 12:05:00,273.59,166.83,0.061,54.14,45.88,50,1028,150,3.75,19.91
2025-03-03 12:10:00,266.5,182.91,0.1286,51.74,44.78,52,949,151,2.35,15.99
2025-03-03 12:15:00,266.0,157.24,0.1026,49.71,44.55,52,1028,142,2.02,15.03
2025-03-03 12:20:00,251.28,165.07,0.0761,49.55,44.86,44,973,144,2.37,15.49
2025-03-03 12:25:00,265.19,162.83,0.141,48.86,45.76,48,1034,153,4.05,15.77
2025-03-03 12:30:00,268.04,169.09,0.2391,45.74,47.0,52,978,146,2.83,15.66
2025-03-03 12:35:00,253.18,146.72,0.324,49.48,42.64,53,983,137,3.48,12.18
2025-03-03 12:40:00,263.77,152.65,0.1776,51.41,42.19,51,1033,141,3.74,14.56
2025-03-03 12:45:00,260.18,160.02,0.1113,48.84,44.71,53,967,138,3.68,19.44
2025-03-03 12:50:00,248.03,135.68,0.0585,44.17,41.23,40,942,125,3.0,14.56
2025-03-03 12:55:00,251.69,161.51,0.1866,49.84,46.01,53,964,141,2.61,14.37
2025-03-03 13:00:00,244.76,172.23,0.117,49.02,43.53,56,931,145,2.76,16.24
2025-03-03 13:05:00,242.36,167.28,0.4992,46.36,48.25,50,919,134,4.93,19.06
2025-03-03 13:10:00,243.29,144.87,0.1545,45.84,47.26,54,938,125,2.42,16.75
2025-03-03 13:15:00,247.17,137.86,0.1119,47.15,41.29,43,933,124,1.81,16.26
2025-03-03 13:20:00,240.26,148.84,0.1792,46.23,45.05,47,839,145,4.32,14.28
2025-03-03 13:25:00,224.58,148.67,0.2633,42.35,44.92,41,835,125,3.13,16.16
2025-03-03 13:30:00,217.48,170.89,0.4732,47.75,40.96,49,825,121,5.07,12.09
2025-03-03 13:35:00,240.54,163.43,0.2714,47.93,42.83,47,960,136,1.62,12.02
2025-03-03 13:40:00,229.15,156.22,0.1515,48.28,39.37,54,858,123,2.55,17.27
2025-03-03 13:45:00,232.98,150.26,0.0545,43.79,46.85,44,918,127,3.78,14.08
2025-03-03 13:50:00,244.41,156.42,0.1687,44.75,44.52,50,900,125,4.83,15.17
2025-03-03 13:55:00,230.23,127.99,0.1032,44.91,44.91,45,876,122,2.99,13.04
2025-03-03 14:00:00,219.7,154.59,0.2469,45.36,45.42,45,812,129,2.32,13.46
2025-03-03 14:05:00,208.59,151.82,0.2799,43.89,38.57,40,834,94,2.47,16.1
2025-03-03 14:10:00,214.68,155.82,0.4772,45.05,41.63,44,812,119,3.85,12.42
2025-03-03 14:15:00,217.61,144.37,0.2333,44.1,41.04,40,805,115,2.16,12.78
2025-03-03 14:20:00,211.98,162.22,0.0588,43.42,40.27,46,779,126,3.12,12.06
2025-03-03 14:25:00,217.96,168.15,0.0967,45.84,44.62,46,767,126,4.27,15.73
2025-03-03 14:30:00,217.28,138.52,0.3532,43.71,41.5,48,833,124,1,13.43
2025-03-03 14:35:00,222.6,134.95,0.3688,45.33,44.17,44,888,111,1.61,15.19
2025-03-03 14:40:00,193.07,163.77,0.1979,39.2,44.86,40,794,119,2.18,14.29
2025-03-03 14:45:00,195.89,155.67,0.1339,44.23,41.51,41,715,103,3.01,9.53
2025-03-03 14:50:00,199.31,129.31,0.1303,40.39,38.86,32,739,107,3.6,12.27
2025-03-03 14:55:00,197.93,163.95,0.3309,48.68,40.49,42,723,120,1.39,15.41
2025-03-03 15:00:00,200.95,136.92,0.1566,41.67,39.04,39,744,110,2.69,12.58
2025-03-03 15:05:00,201.33,162.86,0.3571,43.95,38.74,45,664,107,4.34,12.55
2025-03-03 15:10:00,180.54,143.03,0.3035,37.55,39.2,32,731,90,4.1,14.47
2025-03-03 15:15:00,174.88,159.65,0.0942,39.11,39.36,30,718,104,3.22,14.44
