timestamp,requests_per_second,response_time_ms,error_rate_percent,cpu_usage_percent,memory_usage_percent,active_threads,active_users,database_connections,network_latency_ms,disk_io_percent
2025-03-05 00:00:00,20.72,117.89,0.2623,17.97,26.26,4,92,13,3.39,3.66
2025-03-05 00:05:00,18.76,83.35,0.1408,18.02,28.44,5,162,5,2.94,7.12
2025-03-05 00:10:00,22.98,119.57,0.1969,20.04,25.59,4,104,13,1.7,3.1
2025-03-05 00:15:00,10.26,202.33,0.1074,17.16,26.38,4,48,15,3.28,6.22
2025-03-05 00:20:00,23.77,149.22,0.1891,19.83,29.55,4,58,20,2.02,5.76
2025-03-05 00:25:00,27.16,96.64,0.1223,16.67,24.51,4,73,8,1,5.85
2025-03-05 00:30:00,20.69,141.23,0.4776,20.74,28.3,5,143,13,2.95,6.38
2025-03-05 00:35:00,17.95,117.24,0.3106,19.88,24.69,5,76,10,2.51,8.07
2025-03-05 00:40:00,21.16,133.39,0.1041,16.92,28.12,6,122,19,1.63,7.71
2025-03-05 00:45:00,32.73,108.03,0.0517,16.68,26.26,9,135,18,2.63,8.33
2025-03-05 00:50:00,15.21,100.62,0.0756,21.42,26.27,4,36,6,2.96,5.91
2025-03-05 00:55:00,12.24,165.61,0.2278,17.44,24.78,4,39,14,2.88,7.9
2025-03-05 01:00:00,14.46,106.79,0.2275,16.13,27.61,4,15,5,3.07,8.93
2025-03-05 01:05:00,13.88,163.72,0.0983,17.69,24.85,4,61,15,1.71,7.59
2025-03-05 01:10:00,23.69,142.08,0.1145,17.64,28.1,4,94,21,1,5.89
2025-03-05 01:15:00,17.16,97.95,0.3074,16.38,28.16,4,75,6,1,6.71
2025-03-05 01:20:00,16.85,125.07,0.1914,15.09,28.56,4,68,11,1.47,7.05
2025-03-05 01:25:00,25.35,105.91,0.1344,15.56,26.79,4,73,14,2.72,9.03
2025-03-05 01:30:00,26.57,148.0,0.0713,16.99,26.18,4,49,25,3.6,5.6
2025-03-05 01:35:00,17.54,125.37,0.0993,17.81,26.54,4,69,12,1.27,5.4
2025-03-05 01:40:00,23.5,95.76,0.1241,16.76,26.64,4,53,9,2.25,7.69
2025-03-05 01:45:00,27.57,120.6,0.0606,20.61,29.5,8,100,18,1,7.35
2025-03-05 01:50:00,23.52,105.52,0.1311,15.45,27.64,5,59,14,2.58,8.36
2025-03-05 01:55:00,9.09,103.94,0.0545,12.06,24.09,7,43,5,2.72,5.21
2025-03-05 02:00:00,18.56,92.88,0.1694,14.95,23.22,6,19,5,1.73,8.42
2025-03-05 02:05:00,0.44,1013.56,3.5927,18.43,28.57,4,44,11,1,6.73
2025-03-05 02:10:00,9.67,111.83,0.0507,19.39,25.52,4,71,5,2.75,10.8
2025-03-05 02:15:00,12.36,127.09,0.182,16.44,26.84,4,47,9,1.21,4.85
2025-03-05 02:20:00,17.11,144.25,0.2292,19.51,25.88,4,74,16,1,5.6
2025-03-05 02:25:00,18.83,88.29,0.2146,20.3,26.34,7,13,6,2.37,7.31
2025-03-05 02:30:00,19.1,92.73,0.1163,17.16,24.96,5,106,7,1.09,8.11
2025-03-05 02:35:00,9.98,126.1,0.1616,17.08,25.51,4,32,5,1.19,4.0
2025-03-05 02:40:00,11.03,99.21,0.0591,17.41,29.36,4,0,5,2.46,8.88
2025-03-05 02:45:00,12.3,148.02,0.2817,17.57,28.64,11,70,10,2.27,9.68
2025-03-05 02:50:00,25.59,84.03,0.1994,17.81,25.7,4,82,5,1.12,8.62
2025-03-05 02:55:00,26.06,118.93,0.0996,18.92,24.75,4,50,17,1,8.12
2025-03-05 03:00:00,17.93,114.96,0.172,17.15,24.71,4,31,7,1,8.65
2025-03-05 03:05:00,21.77,142.69,0.0905,17.9,27.83,7,84,16,1.45,6.96
2025-03-05 03:10:00,7.68,100.31,0.3073,16.17,25.47,4,47,5,2.26,10.85
2025-03-05 03:15:00,14.46,114.01,0.1148,20.81,27.73,4,26,5,4.32,8.01
2025-03-05 03:20:00,27.22,112.23,0.3513,19.54,25.72,6,158,9,1.68,8.35
2025-03-05 03:25:00,14.55,121.14,0.1125,15.91,26.96,6,0,11,1,4.51
2025-03-05 03:30:00,27.58,114.97,0.0555,16.92,28.38,4,84,18,1,5.63
2025-03-05 03:35:00,18.15,136.28,0.2931,18.2,25.6,8,84,17,3.89,7.44
2025-03-05 03:40:00,23.82,176.42,0.2312,16.05,28.43,4,116,30,3.36,7.71
2025-03-05 03:45:00,20.7,101.23,0.0715,14.19,25.8,7,115,8,1,5.87
2025-03-05 03:50:00,17.96,150.34,0.0584,17.63,29.58,10,60,18,1.69,8.26
2025-03-05 03:55:00,17.02,128.61,0.2104,16.26,27.26,4,87,13,3.73,4.59
2025-03-05 04:00:00,33.24,80.55,0.3097,19.09,24.98,12,127,12,3.26,10.55
2025-03-05 04:05:00,15.13,159.11,0.0629,16.21,28.14,4,0,16,1.66,9.68
2025-03-05 04:10:00,15.47,106.82,0.2025,17.91,25.52,5,92,5,1.8,7.04
2025-03-05 04:15:00,18.51,137.22,0.28,16.87,25.65,4,77,19,2.62,6.17
2025-03-05 04:20:00,24.62,138.79,0.1,19.9,26.86,4,110,29,2.41,10.78
2025-03-05 04:25:00,10.7,127.66,0.1359,13.29,28.73,4,0,7,1,7.59
2025-03-05 04:30:00,9.32,111.49,0.0598,17.1,26.49,4,33,5,2.78,4.65
2025-03-05 04:35:00,32.58,141.73,0.2184,21.18,27.99,5,132,24,2.0,7.12
2025-03-05 04:40:00,22.96,116.09,0.3354,15.96,26.84,4,93,12,1.26,6.54
2025-03-05 04:45:00,13.34,116.4,0.1326,17.84,26.03,8,66,8,2.72,9.03
2025-03-05 04:50:00,23.78,154.48,0.0787,15.35,27.61,4,64,25,2.35,9.46
2025-03-05 04:55:00,25.02,85.71,0.2137,20.83,23.8,6,118,6,1.49,10.17
2025-03-05 05:00:00,10.86,118.94,0.1227,17.58,25.38,4,58,8,1.37,8.75
2025-03-05 05:05:00,33.25,118.67,0.2641,20.36,30.47,6,156,24,1.3,7.25
2025-03-05 05:10:00,39.25,122.1,0.2115,24.43,28.11,7,135,20,2.88,7.54
2025-03-05 05:15:00,24.98,82.32,0.2111,17.14,26.24,4,84,5,1,9.07
2025-03-05 05:20:00,26.94,101.97,0.1931,16.46,28.26,4,82,13,3.13,7.04
2025-03-05 05:25:00,38.99,132.43,0.0573,18.48,29.18,12,123,37,1.74,7.19
2025-03-05 05:30:00,53.71,108.7,0.2703,22.01,27.98,12,175,37,2.84,11.33
2025-03-05 05:35:00,51.97,161.8,0.1288,24.99,33.45,16,218,50,3.96,12.06
